Cession_Number,Royce_ID,Royce_ID_Num,State,County,State_and_County,Tribe_Named_in_Land_Cessions_1784-1894,Present_Day_Tribe,US_Acquired_Mode,Cession_State,Yr_US_Acquired,Date_US_Acquired,Total_Acreage,US_Paid_Total,US_Paid_Per_Acre,US_Paid_Per_Acre_if_N/A,KEEP IN THE DATA,INFLATION FACTOR FOR YEAR,US PAID TOTAL - INFLATION ADJUSTED to 2023,US_Paid_Per_Acre - Inflation Adjusted,Total_Area_Source,US_Paid_Total_Source,Notes,Citation_1,Citation_2,Royce_Schedule_Date_1,URL_for_Royce_Schedule_Entry_1,URL_for_Treaty_Text_Catalogued_by_Kappler_1,Royce_Schedule_Date_2,URL_for_Royce_Schedule_Entry_2,URL_for_Treaty_Text_Catalogued_by_Kappler_2,Royce_Schedule_Date_3,URL_for_Royce_Schedule_Entry_3,URL_for_Treaty_Text_Catalogued_by_Kappler_3,Royce_Schedule_Date_4,URL_for_Royce_Schedule_Entry_4,URL_for_Treaty_Text_Catalogued_by_Kappler_4,Royce_Schedule_Date_5,URL_for_Royce_Schedule_Entry_5,URL_for_Treaty_Text_Catalogued_by_Kappler_5,Map Name,Map_Name_1,Map_Name_2,Map_Name_3,Map_Name_4,Map_Name_5,Map_Name_6,Map_URL_1,Map_URL_2,Map_URL_3,Map_URL_4,Map_URL_5,Map_URL_6,URL for Federal Statute,URL for Executive Order,SHAPE_Length,SHAPE_Area,GIS_Source,,,,,,,,,,,,,,,year,Conversion Factor from 2023,year
245,245,245,WI,Clark; Columbia; Crawford; Jackson; Juneau; La Crosse; Monroe; Richland; Sauk; Vernon; Wood,WI:Clark; WI:Columbia; WI:Crawford; WI:Jackson; WI:Juneau; WI:La Crosse; WI:Monroe; WI:Richland; WI:Sauk; WI:Vernon; WI:Wood,Winnebago,Ho-Chunk Nation of Wisconsin; Winnebago Tribe of Nebraska,"Ceded by treaty, Novermber 1, 1837",WI,1837,18371101,"3,795,900","$2,974,512.93",$0.78 ,,YES,0.031201442,"$95,332,547.90",$25.11,Calculated in GIS,"16 ICC 81, p. 118; for payment see General Services Administration Report Re: Petitions of the Winnebago Tribe and Nation of Indians, et al, Dkt 243, 24, 245, p. 3",,,,1837/11/01 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/768/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=506,,,,,,,,,,,,,Wisconsin 1,Wisconsin 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=64,,,,,,,,868530.199,29321094233,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1645,0.028600872,1645
246,,,,,,,,,,1838,18380115,442371.9,"$50,344.00",$0.11 ,,YES,0.030227577,"$1,665,499.03",$3.76,Calculated in GIS,United States General Accounting Office Report Re: Petitions of the Cayuga NationÉ p. 50,This requires ICC research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646,0.017877568,1646
261,261,261,MI; WI,Ashland; Baraga; Bayfield; Delta; Dickinson; Douglas; Florence; Forest; Gogebic; Houghton; Iron; Keweenaw; Langlade; Marinette; Marquette; Menominee; Oconto; Oneida; Ontonagon; Price; Shawano; Vilas,MI:Baraga; MI:Delta; MI:Dickinson; MI:Gogebic; MI:Houghton; MI:Iron; MI:Keweenaw; MI:Marquette; MI:Menominee; MI:Ontonagon; WI:Ashland; WI:Bayfield; WI:Douglas; WI:Florence; WI:Forest; WI:Iron; WI:Langlade; WI:Marinette; WI:Menominee; WI:Oconto; WI:Oneid,Chippewa of the Mississippi and Lake Superior,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau","Ceded by treaty, October 4, 1842",MI; WI,1842,18421004,"10,538,000","$346,689.68",$0.03 ,,YES,0.026653142,"$13,007,459.93",$1.23,"37 ICC 146, p. 169; 41 ICC 102, p. 109","37 ICC 146, p. 169; 41 ICC 102, p. 109",,Tiller 787; Tiller 795,Trigger 745,1842/10/04 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/776/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=550,,,,,,,,,,,,,"Wisconsin 1, Michigan 1",Wisconsin 1,Michigan 1,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=64,https://www.loc.gov/resource/g3701em.gct00002/?sp=29,,,,,,,2293106.809,1.65E+11,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1647,0.013326571,1647
268,268,268,MN,Douglas; Morrison; Stearns; Todd,MN:Douglas; MN:Morrison; MN:Stearns; MN:Todd,Chippewa of the Mississippi and Lake Superior,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau","Ceded by treaty, August 2, 1847",MN,1847,18470802,"1,104,000","$71,000.00",$0.06 ,,YES,0.026653142,"$2,663,851.01",$2.41,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",,Tiller 787; Tiller 795,Trigger 745,1847/08/02 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/780/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=575,,,,,,,,,,,,,Minnesota 1,Minnesota 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=33,,,,,,,,502164.8853,9004456047,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1648,0.023726152,1648
269,269,269,MN,Douglas; Otter Tail; Todd; Wadena,MN:Douglas; MN:Otter Tail; MN:Todd; MN:Wadena,Chippewa (Pillager band),"Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; White Earth Band of Minnesota Chippewa Tribe, Minnesota","Ceded by treaty, August 21, 1847",MN,1847,18470821,"814,500","$19,706.94",$0.02 ,,YES,0.026653142,"$739,385.24",$0.91,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",,,,1847/08/21 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/780/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=577,,,,,,,,,,,,,Minnesota 1,Minnesota 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=33,,,,,,,,403349.5537,6375990828,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1649,0.034778574,1649
271,271,271,WI,Adams; Columbia; Marquette; Menominee; Portage; Shawano; Waupaca; Waushara; Wood,WI:Adams; WI:Columbia; WI:Marquette; WI:Menominee; WI:Portage; WI:Shawano; WI:Waupaca; WI:Waushara; WI:Wood,Menomini,Menominee Indian Tribe of Wisconsin,"Ceded by treaty, October 18, 1848",WI,1848,18481018,"4,009,000","$114,970.40",$0.03 ,,YES,0.02567658,"$4,477,636.86",$1.12,"11 ICC 336, p. 385","11 ICC 336, p. 385","Total area combines Royce areas 158, 160, 219, and 271",1 Hodge 842-844,Clark 141,1848/10/18 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/780/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=580,,,,,,,,,,,,,Wisconsin 1,Wisconsin 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=64,,,,,,,,856405.8135,20628394029,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1650,0.018525013,1650
289,289,289,IA; MN; SD,Big Stone; Blue Earth; Brookings; Brown; Carver; Chippewa; Clay; Codington; Cottonwood; Dakota; Deuel; Dickinson; Dodge; Douglas; Emmet; Faribault; Fillmore; Freeborn; Goodhue; Grant; Hamlin; Hancock; Hennepin; Houston; Howard; Humboldt; Jackson; Kandiyo,IA:Dickinson; IA:Emmet; IA:Hancock; IA:Howard; IA:Humboldt; IA:Kossuth; IA:Lyon; IA:Mitchell; IA:Osceola; IA:Palo Alto; IA:Pocahontas; IA:Winnebago; IA:Worth; MN:Big Stone; MN:Blue Earth; MN:Brown; MN:Carver; MN:Chippewa; MN:Clay; MN:Cottonwood; MN:Dakot,Sioux (Wahpeton and Sisseton Bands),"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota","Ceded by treaty, July 23 and August, 5, 1851",IA; MN; SD,1851,18510723,"23,473,900","$555,000.00",$0.02 ,,YES,0.025026437,"$22,176,548.45",$0.94,Calculated in GIS,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",,,,1851/07/23 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=596,1851/08/05 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/784/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=599,,,,,,,,,,"Minnesota 1, Iowa 1, Dakota 1",Minnesota 1,Iowa 1,Dakota 1,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=33,https://www.loc.gov/resource/g3701em.gct00002/?sp=24,https://www.loc.gov/resource/g3701em.gct00002/?sp=11,,,,,,2717070.029,2.02E+11,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1651,0.024702715,1651
315,315,315,NE,Burt; Cedar; Colfax; Cuming; Dakota; Dixon; Dodge; Douglas; Knox; Madison; Pierce; Platte; Sarpy; Stanton; Thurston; Washington; Wayne,NE:Burt; NE:Cedar; NE:Colfax; NE:Cuming; NE:Dakota; NE:Dixon; NE:Dodge; NE:Douglas; NE:Knox; NE:Madison; NE:Pierce; NE:Platte; NE:Sarpy; NE:Stanton; NE:Thurston; NE:Washington; NE:Wayne,Omaha,Omaha Tribe of Nebraska,"Ceded by treaty, March 16, 1854",NE,1854,18540316,"7,482,098","$975,739.54",$0.13 ,,YES,0.027300587,"$35,740,606.58",$4.78,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",,2 Hodge 119-120,Tiller 491,1854/03/16 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/790/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=619,,,,,,,,,,,,,Nebraska,Nebraska,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=41,,,,,,,,1126260.826,36021548091,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1652,0.019501575,1652
321,,,,,,,,,,1854,18540512,"737,906","$242,686.00",$0.33 ,,YES,0.027300587,"$8,889,405.93",$12.05,10 Stat. 1054,10 Stat. 1054,Cession date in 1854.05.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653,0.025352857,1653
332,332,332,MN,Carlton; Cook; Lake; St. Louis,MN:Carlton; MN:Cook; MN:Lake; MN:St. Louis,Chippewa of the Mississippi and Lake Superior,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau","Ceded by treaty, September 30, 1854",MN,1854,18540930,"5,867,436","$554,795.57",$0.09 ,,YES,0.027300587,"$20,321,745.08",$3.46,"25 ICC 55, p. 70; 41 ICC 249, p. 265","25 ICC 55, p. 70; 41 ICC 249, p. 265",,Tiller 787; Tiller 795,Trigger 745,1854/09/30 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/794/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=656,,,,,,,,,,,,,Minnesota 1,Minnesota 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=33,,,,,,,,1437003.184,55327466039,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1654,0.025352857,1654
336,,,,,,,,,,,,,,,N/A,NO,#N/A,,,,,"Not a cession. Lac Flambeau reservation created on this day. Subsequently altered in size. Need to check if overlapping state trust land is still on reservation, if so price will be $0; if not requires further investigation to see if area was in reduction made by order of Secretary of Interior June 22, 1866 or act of Congess 1872, and if either stipulated payment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655,0.024376295,1655
345,345,345,WA,Kitsap; Mason; Pierce; Thurston,WA:Kitsap; WA:Mason; WA:Pierce; WA:Thurston,Niskwali; Puyallup; Sa-heh-wamish; S'Homamish; Squaxin; Squiaitl; Steh-chass; Steilacoom; T'Peeksin,"Nisqually Indian Tribe of the Nisqually Reservation, Washington; Nonfederally Recognized Indian Groups; Puyallup Tribe of the Puyallup Reservation, Washington; Squaxin Island Tribe of the Squaxin Island Reservation, Washington","Ceded by treaty, December 26, 1854",WA,1854,18541226,"1,876,610","$173,936.85",$0.09 ,,YES,0.027300587,"$6,371,176.19",$3.40,Calculated in GIS,"Duwamish, Lummi, etc. Tribes of Indians v. United States, 79 Ct. Cl. 530 Court: Court of Claims Date: June 4, 1934",,2 Hodge 331; 2 Hodge 631; 2 Hodge 76; Tiller 773; Tiller 773-74,2 Hodge 632; 2 Hodge 691; 2 Hodge 737; Suttles 487; Tiller 773,1854/12/26 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/798/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=669,,,,,,,,,,,,,Washington 1,Washington 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=60,,,,,,,,575225.6885,16449571742,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1656,0.024052573,1656
347,347,347,WA,Chelan; King; Kitsap; Okanogan; San Juan; Skagit; Snohomish; Whatcom,WA:Chelan; WA:King; WA:Kitsap; WA:Okanogan; WA:San Juan; WA:Skagit; WA:Snohomish; WA:Whatcom,Dwamish; Suquamish,"Duwamish Tribe of Indians [Unrecognized]; Suquamish Indian Tribe of the Port Madison Reservation, Washington","Ceded by treaty, January 22, 1855",WA,1855,18550122,"6,558,560","$320,213.86",$0.05 ,,YES,0.02827715,"$11,324,120.91",$1.73,Calculated in GIS,"Duwamish, Lummi, etc. Tribes of Indians v. United States, 79 Ct. Cl. 530 Court: Court of Claims Date: June 4, 1934",,1 Hodge 407; Tiller 756,2 Hodge 652; Suttles 487,1855/01/22 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/798/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=677,,,,,,,,,,,,,Washington 1,Washington 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=60,,,,,,,,1231186.478,60449447769,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1657,0.019501575,1657
353,353,353,WA,Clallam; Grays Harbor; Jefferson; Kitsap; Mason,WA:Clallam; WA:Grays Harbor; WA:Jefferson; WA:Kitsap; WA:Mason,Sklallam,"Jamestown S'Klallam Tribe, Washington; Lower Elwha Tribal Community, Washington; Port Gamble S'Klallam Tribe, Washington","Ceded by treaty, January 26, 1855",WA,1855,18550126,"2,473,230","$198,945.54",$0.08 ,,YES,0.02827715,"$7,035,558.51",$2.84,Calculated in GIS,"Duwamish, Lummi, etc. Tribes of Indians v. United States, 79 Ct. Cl. 530 Court: Court of Claims Date: June 4, 1934",,Tiller 738; Tiller 744; Tiller 754,1 Hodge 302,1855/01/26 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/800/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=682,,,,,,,,,,,,,Washington (Northwestern),Washington (northwestern),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=63,,,,,,,,736987.5653,22630240898,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1658,0.012676429,1658
355,355,355,WA,Clallam,WA:Clallam,Makah,"Makah Indian Tribe of the Makah Indian Reservation, Washington","Ceded by treaty, January 31, 1855",WA,1855,18550131,"105,076","$30,000.00",$0.29 ,,YES,0.02827715,"$1,060,927.30",$10.10,Calculated in GIS,26 ICC p. 66,,1 Hodge 791,Tiller 747,1855/01/31 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/800/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=690,,,,,,,,,,,,,Washington (Northwestern),Washington (northwestern),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=63,,,,,,,,152993.4038,914051172.9,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1659,0.014300436,1659
357,357,357,MN,Aitkin; Becker; Beltrami; Carlton; Cass; Clay; Clearwater; Crow Wing; Hubbard; Itasca; Koochiching; Mahnomen; Norman; Otter Tail; St. Louis; Wadena,MN:Aitkin; MN:Becker; MN:Beltrami; MN:Carlton; MN:Cass; MN:Clay; MN:Clearwater; MN:Crow Wing; MN:Hubbard; MN:Itasca; MN:Koochiching; MN:Mahnomen; MN:Norman; MN:Otter Tail; MN:St. Louis; MN:Wadena,Chippewa of the Mississippi,"Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; White Earth Band of Minnesota Chippewa Tribe, Minnesota","Ceded by treaty, February 22, 1855",MN,1855,18550222,"10,233,700","$1,334,686.85",$0.13 ,,YES,0.02827715,"$47,200,190.71",$4.61,"Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017.","Lee, ""Federal Disbursements for Indian Title in the Louisiana Territory, 1804-2012"" MEAD, February 2017",,,,1855/02/22 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/802/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=693,,,,,,,,,,,,,Minnesota 1,Minnesota 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=33,,,,,,,,1522007.819,90051978080,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1660,0.016250863,1660
361,,,,,,,,,,1846,18461013,"2,040,557.91","$219,730.92",$0.11 ,,YES,0.025026437,"$8,779,952.06",$4.30,ITCS Report ,ITCS Report ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661,0.013650294,1661
362,362,362,OR; WA,Baker; Benton; Columbia; Garfield; Grant; Morrow; Umatilla; Union; Walla Walla; Wallowa,OR:Baker; OR:Grant; OR:Morrow; OR:Umatilla; OR:Union; OR:Wallowa; WA:Benton; WA:Columbia; wa:Garfield; WA:Walla Walla,Cayuse; Umatilla; Walla-walla,"Confederated Tribes of the Umatilla Indian Reservation, Oregon; Confederated Tribes of the Umatilla Reservation, Oregon","Ceded by treaty, June 9, 1855",OR; WA,1855,18550609,"6,825,120","$192,000.00",$0.03 ,,YES,0.02827715,"$6,789,934.75",$0.99,Calculated in GIS,"Kappler II, 694-698","Payment based on treaty, excludes unspecified costs of reservation buildings and personnel for 20 years",1 Hodge 224,Tiller 678,1855/06/09 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/804/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=702,,,,,,,,,,,,,"Oregon 1, Washington 1",Oregon 1,Washington 1,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=51,https://www.loc.gov/resource/g3701em.gct00002/?sp=60,,,,,,,1492066.823,59130777487,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1662,0.014626856,1662
364,364,364,WA,Adams; Benton; Chelan; Douglas; Franklin; Grant; King; Kittitas; Klickitat; Lewis; Okanogan; Pierce; Skamania; Snohomish; Yakima,WA:Adams; WA:Benton; WA:Chelan; WA:Douglas; WA:Franklin; WA:Grant; WA:King; WA:Kittitas; WA:Klickitat; WA:Lewis; WA:Okanogan; WA:Pierce; WA:Skamania; WA:Snohomish; WA:Yakima,Yakima,"Confederated Tribes and Bands of the Yakama Nation, Washington","Ceded by treaty, June 9, 1855",WA,1855,18550609,"11,631,400","$593,000.00",$0.05 ,,YES,0.02827715,"$20,970,996.37",$1.80,Calculated in GIS,"15 ICC 196, p. 199",,2 Hodge 983-84,Tiller 782-83,1855/06/09 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/804/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=706,,,,,,,,,,,,,Washington 1,Washington 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=60,,,,,,,,1700515.749,1.08E+11,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1663,0.014626856,1663
366,366,366,WA,Columbia; Garfield; Whitman,WA:Columbia; wa:Garfield; WA:Whitman,Nez PercÃ©,"Nez Perce Tribe, Idaho","Ceded by treaty, June 1, 1855",WA,1855,18550601,"7,005,000","$962,585.14",$0.14 ,,YES,0.02827715,"$34,041,095.25",$4.86,Calculated in GIS,"General Accounting Report In re: Petition of the Blackfeet, Blood, Piegan, Gros Ventre and Nez Perce Tribes of Indians, p. 28",,2 Hodge 65-67,Tiller 395-96,1855/06/11 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/806/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=710,,,,,,,,,,,,,"Washington 1, Oregon 1, Idaho",Washington 1,Oregon 1,Idaho,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=60,https://www.loc.gov/resource/g3701em.gct00002/?sp=51,https://www.loc.gov/resource/g3701em.gct00002/?sp=16,,,,,,1893159.216,56723267437,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1664,0.014626856,1664
367,,,,,,,,,,1855,18550622,"11,756,147","$800,000.00",$0.07 ,,YES,0.02827715,"$28,291,394.77",$2.41,"119 U.S. 1 (v. 3, p. )","119 U.S. 1 (v. 3, p. )",Cession date is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665,0.012350009,1665
368,,,,,,,,,,,,,,,N/A,NO,#N/A,,,,,Not a cession. This tract is Choctaw District created on this date. Should check if it is still a reservation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666,0.012350009,1666
371,371,371,WA,Clallam; Grays Harbor; Jefferson,WA:Clallam; WA:Grays Harbor; WA:Jefferson,Quil-leh-ute; Qui-nai-elt,"Quileute Tribe of the Quileute Reservation, Washington; Quinault Tribe of the Quinault Reservation, Washington","Ceded by treaty, July 1, 1855",WA,1855,18550701,"1,031,132","$25,000.00",$0.02 ,,YES,0.02827715,"$884,106.09",$0.86,Calculated in GIS,7 ICC p. 23,,2 Hodge 342-43; 2 Hodge 340,Tiller 762,1855/07/01 07:00:00.000,https://archive.org/stream/annualreportofbu218smit#page/808/mode/2up,https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=727,,,,,,,,,,,,,Washington (Northwestern),Washington (northwestern),,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=63,,,,,,,,525136.6957,9933676750,"USFS, ï¿½Tribal Lands Ceded to the United Statesï¿½ (Royce attributes); Claudio Saunt, ï¿½Invasion of Americaï¿½ (Royce polygons)",,,,,,,,,,,,,,,1667,0.013326571,1667
