,present_day_tribe,cession_count,cession_number,subsurface_acres,surface_acres,timber_acres,university,state
75,"Port Gamble S'Klallam Tribe, Washington",1,353,7335.76,6417.08,6417.08,Washington State University,WA
76,Prairie Island Indian Community in the State of Minnesota,10,"598, 243, 516, 581, 699, 632, 599, 614, 597, 653",103572.24,47546.97,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
77,"Puyallup Tribe of the Puyallup Reservation, Washington",1,345,1282.5,1898.29,1898.29,Washington State University,WA
78,"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
79,"Quapaw Tribe of Indians, Oklahoma",1,94,9397.83,320.47,,Oklahoma State University,OK
80,"Quileute Tribe of the Quileute Reservation, Washington",1,371,1114.44,1114.44,1114.44,Washington State University,WA
81,"Quinault Tribe of the Quinault Reservation, Washington",2,"458, 371",49257.83,48205.93,48868.75,Washington State University,WA
82,Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,5,"336, 332, 261, 268, 242",29240.6,85792.34,,"University of Minnesota, University of Wisconsin","MN, WI"
83,"Red Lake Band of Chippewa Indians, Minnesota",2,"242, 445",21347.25,35113.4,,"University of Minnesota, North Dakota State University, University of Wisconsin","MN, WI, ND"
84,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota",10,"598, 243, 516, 581, 699, 632, 599, 614, 597, 653",103572.24,47546.97,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
85,Saginaw Chippewa Indian Tribe of Michigan,1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","MN, WI"
86,"San Carlos Apache Tribe of the San Carlos Reservation, Arizona",2,"689, 448",642356.61,606462.76,,"University of Arizona, New Mexico State University","AZ, NM"
87,San Juan Southern Paiute Tribe of Arizona,1,558,8324.61,1858.16,,Utah State University,UT
88,"Santee Sioux Nation, Nebraska",12,"598, 523, 243, 516, 581, 699, 632, 599, 492, 614, 597, 653",105554.87,47546.97,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University, Oklahoma State University","MN, WI, ND, MT, OK, WY, SD"
89,Sault Ste. Marie Tribe of Chippewa Indians of Michigan,1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","MN, WI"
90,Seminole Nation of Oklahoma,1,404,5844.1,766.27,,Oklahoma State University,OK
91,Seminole Tribe of Florida,1,404,5844.1,766.27,,Oklahoma State University,OK
92,Shakopee Mdewakanton Sioux Community of Minnesota,10,"598, 243, 516, 581, 699, 632, 599, 614, 597, 653",103572.24,47546.97,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
93,"Shoalwater Bay Tribe of the Shoalwater Bay Indian Reservation, Washington",1,458,48143.39,47091.49,47754.31,Washington State University,WA
94,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,2,"524, 520",56632.63,27318.64,,"University of Idaho, University of Wyoming, Utah State University","UT, WY, ID"
95,"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
96,"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota",15,"289, 598, 243, 538, 516, 581, 496, 699, 632, 599, 497, 614, 539, 597, 653",151329.52,52301.68,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
97,"Sokaogon Chippewa Community, Wisconsin",1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","MN, WI"
98,"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado",5,"566, 616, 586, 450, 451",23982.32,4671.49,,"Utah State University, Colorado State University","UT, CO"
99,"Spirit Lake Tribe, North Dakota",10,"598, 243, 516, 581, 699, 632, 599, 614, 597, 653",103572.24,47546.97,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
100,"Spokane Tribe of the Spokane Reservation, Washington",1,625,4011.97,2925.73,2925.73,Washington State University,WA
101,"Squaxin Island Tribe of the Squaxin Island Reservation, Washington",1,345,1282.5,1898.29,1898.29,Washington State University,WA
102,St. Croix Chippewa Indians of Wisconsin,1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","MN, WI"
103,Standing Rock Sioux Tribe of North & South Dakota,11,"598, 243, 516, 581, 702, 699, 632, 599, 614, 597, 653",104049.52,48024.32,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
104,Summit Lake Paiute Tribe of Nevada,1,558,8324.61,1858.16,,Utah State University,UT
105,"Suquamish Indian Tribe of the Port Madison Reservation, Washington",1,347,29111.83,28874.47,28537.74,Washington State University,WA
106,Te-Moak Tribe of Western Shoshone Indians of Nevada,1,444,75371.4,26426.26,,"University of Idaho, Utah State University","UT, ID"
107,"The Osage Nation, Oklahoma",2,"123, 97",14410.64,2593.95,,Oklahoma State University,OK
108,"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",5,"620, 712, 529, 621, 713",19403.67,1145.24,,"Montana State University, North Dakota State University","ND, MT"
109,Tonto Apache Tribe of Arizona,2,"689, 448",642356.61,606462.76,,"University of Arizona, New Mexico State University","AZ, NM"
110,Turtle Mountain Band of Chippewa Indians of North Dakota,3,"242, 654, 445",22789.14,35431.29,,"University of Minnesota, North Dakota State University, University of Wisconsin","MN, WI, ND"
111,United Keetoowah Band of Cherokee Indians in Oklahoma,1,489,5921.11,1185.96,,Oklahoma State University,OK
112,"Upper Sioux Community, Minnesota",10,"598, 243, 516, 581, 699, 632, 599, 614, 597, 653",103572.24,47546.97,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
113,"Ute Indian Tribe of the Uintah & Ouray Reservation, Utah",6,"566, 616, 586, 432, 450, 451",56324.8,13717.88,,"Utah State University, Colorado State University","UT, CO"
114,"Ute Mountain Ute Tribe, Colorado, New Mexico, & Utah",6,"566, 616, 586, 515, 450, 451",48038.73,22750.41,,"Utah State University, Colorado State University","UT, CO"
115,"Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California",1,558,8324.61,1858.16,,Utah State University,UT
116,"Walker River Paiute Tribe of the Walker River Reservation, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
117,"White Earth Band of Minnesota Chippewa Tribe, Minnesota",8,"332, 336, 261, 268, 269, 445, 357, 242",48707.32,94202.16,,"University of Minnesota, North Dakota State University, University of Wisconsin","MN, WI, ND"
118,"White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",3,"689, 448, 688",2590543.52,2493276.18,,"University of Arizona, Texas A&M, New Mexico State University, Oklahoma State University","TX, OK, AZ, NM"
119,"Wichita and Affiliated Tribes (Wichita, Keechi, Waco & Tawakonie), Oklahoma",1,540a,662.96,,,Oklahoma State University,OK
120,Winnebago Tribe of Nebraska,4,"361, 174, 245, 468",827.19,243.0,,"University of Minnesota, South Dakota State University, University of Wisconsin","MN, WI, SD"
121,Yankton Sioux Tribe of South Dakota,11,"410, 598, 243, 516, 581, 699, 632, 599, 614, 597, 653",108048.23,49442.82,,"University of Minnesota, University of Wyoming, South Dakota State University, North Dakota State University, University of Wisconsin, Montana State University","MN, WI, ND, MT, WY, SD"
122,"Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
