,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,county,township,range,section,data_source,geometry
10,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,661.04,661.74,subsurface,Cochise,13S,22E,4,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-110.11508315344075 32.33220956990454, -110.11507773120968 32.32858015313188, -110.11507228023254 32.32495073735889, -110.11080214930927 32.32496147486335, -110.10653201748767 32.32497224121246, -110.10226188566607 32.32498297947348, -110.0979917547428 32.32499374506092, -110.09798458978008 32.32862313330151, -110.09797742481737 32.33225254835096, -110.09796956455864 32.33588138145319, -110.0979607745436 32.33996570967779, -110.10224418975329 32.33996586147313, -110.10652760406468 32.33996601175051, -110.11081101747776 32.339966162786794, -110.11509440483967 32.33996628498207, -110.1150884112801 32.33583840169371, -110.11508315344075 32.33220956990454))"
11,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,640.0,633.19,subsurface,Cochise,15S,22E,18,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-110.13950276837635 32.12313788762395, -110.13527346049284 32.123131794458786, -110.13104417866049 32.12312567238318, -110.13105418319782 32.12674304679163, -110.13106418593848 32.130360447435265, -110.1310741895775 32.13397782179696, -110.13108419231818 32.137595195716784, -110.13530685985512 32.13758353998219, -110.13952952918866 32.13757185686205, -110.14376994833393 32.13756389569605, -110.14802303282637 32.137555907145234, -110.14802744804598 32.133942838748645, -110.14803183362122 32.13032974134401, -110.14803230344009 32.12674217267875, -110.1480327741573 32.12315460445522, -110.1437466316624 32.12314623196536, -110.13950276837635 32.12313788762395))"
12,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,320.0,320.52,subsurface,Cochise,15S,22E,19,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-110.13950276837635 32.12313788762395, -110.1437466316624 32.12314623196536, -110.1480327741573 32.12315460445522, -110.14804727206769 32.11949617622526, -110.14806174123196 32.115837720036524, -110.14377429348495 32.115844014553254, -110.13951870808273 32.11585014168239, -110.13527948100187 32.11585607631597, -110.13104025481931 32.11586187019186, -110.13104223111294 32.119493771272914, -110.13104417866049 32.12312567238318, -110.13527346049284 32.123131794458786, -110.13950276837635 32.12313788762395))"
13,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,70.0,73.0,subsurface,Coconino,21N,8E,18,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.58451619193507 35.1978044128141, -111.58451730315106 35.20147438368886, -111.58671416372108 35.201498731072114, -111.5867159801146 35.19964863506466, -111.58671965781737 35.19590534883478, -111.58228115566038 35.19587133032791, -111.57784268135119 35.19583731107275, -111.57779233976267 35.19961473263845, -111.58008099288337 35.19962348333423, -111.58007754694593 35.1977277938466, -111.58451619193507 35.1978044128141))"
14,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,641.34,644.04,subsurface,Coconino,20N,6E,4,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.76561456883509 35.15102431762222, -111.76766683927194 35.15098930859222, -111.7700273055131 35.15094902586043, -111.77210268780557 35.150913600338185, -111.77444004398774 35.150898037812006, -111.77439125648463 35.14722564792714, -111.77434302683535 35.143573506567776, -111.77431554557418 35.139856699335944, -111.77428803736355 35.1361398649081, -111.76987821212538 35.13623035222759, -111.76546836083608 35.136320840181156, -111.76105850954677 35.13641132656486, -111.7566486852069 35.13650178566682, -111.75677788989424 35.140100429407205, -111.75690712242933 35.1436990705275, -111.75688380216455 35.14745926424942, -111.75686023306643 35.15123890111151, -111.75885331081427 35.15117644778275, -111.76123738567941 35.15110174816498, -111.76323101858608 35.15103929546547, -111.76561456883509 35.15102431762222))"
15,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,574.22,576.13,subsurface,Coconino,20N,6E,5,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.79219674037498 35.14706750411398, -111.7921395958448 35.143361667769206, -111.78767863490741 35.14341501702351, -111.78321764522391 35.1434681980276, -111.78315733233575 35.139717695853456, -111.78759007180017 35.13964795895163, -111.79202281306124 35.13957808315074, -111.79190602758273 35.135794498244046, -111.78750153743903 35.135880847026435, -111.78309704639702 35.13596719498258, -111.77869252750725 35.136053515665836, -111.77428803736355 35.1361398649081, -111.77431554557418 35.139856699335944, -111.77434302683535 35.143573506567776, -111.77439125648463 35.14722564792714, -111.77444004398774 35.150898037812006, -111.77656492614729 35.150882446637404, -111.77888814284688 35.150865384995804, -111.7810271914385 35.15084971008227, -111.78333624170605 35.15084375844734, -111.78548487442342 35.150827945443986, -111.78779525779085 35.15081093887833, -111.78994255740835 35.15079515231055, -111.79225424602788 35.15078658953038, -111.79219674037498 35.14706750411398))"
16,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,163.61,161.14,subsurface,Coconino,20N,6E,6,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.7921395958448 35.143361667769206, -111.79219674037498 35.14706750411398, -111.79225424602788 35.15078658953038, -111.79434035150992 35.150774581217526, -111.79658287254752 35.150761657717844, -111.7987381168654 35.15074923220612, -111.80091147301601 35.150739613212046, -111.80091819151603 35.14705174913937, -111.80092493876214 35.14337027320086, -111.79653228122736 35.14336603990158, -111.7921395958448 35.143361667769206))"
17,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,641.12,634.93,subsurface,Coconino,20N,5E,2,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.83616485112648 35.15053993362564, -111.83844084518822 35.150527010088645, -111.84055003377978 35.15051500100301, -111.84286197302929 35.15050185711186, -111.84493521643307 35.150490318837605, -111.84488433495706 35.146837728279465, -111.8448340095382 35.14321424920099, -111.84479776610976 35.13960140741337, -111.8447615235796 35.135988565424604, -111.84039617033791 35.13600211129935, -111.8360308170962 35.13601565570255, -111.83166546295618 35.13602920083814, -111.82730010971447 35.13604274597147, -111.82733069106169 35.13969216856358, -111.82736127061227 35.14334159136339, -111.82737654556536 35.14697929267055, -111.82739198670677 35.150635215175576, -111.82962753502116 35.15060651239435, -111.83177841712 35.15057889372521, -111.83401968949936 35.15055010939462, -111.83616485112648 35.15053993362564))"
18,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,54.96,56.17,subsurface,Coconino,20N,7E,6,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.69057530535595 35.136943868407194, -111.6860717364263 35.13703994898222, -111.68610766544441 35.13986934762437, -111.68692452329519 35.13987261658001, -111.68877681886833 35.14018671485498, -111.69011042539978 35.14025351806423, -111.69152407451801 35.140497994026596, -111.69289067886479 35.13963713684163, -111.69324459352717 35.137724846242065, -111.69409609850015 35.1368687678444, -111.69057530535595 35.136943868407194))"
19,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,2.54,2.93,subsurface,Coconino,21N,7E,18,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.68618655549267 35.1954413397543, -111.68381163356196 35.19545407189613, -111.6838196653989 35.19619999250925, -111.68381993399518 35.196224908189365, -111.68382019450662 35.19624908169929, -111.68391139416921 35.196239533420666, -111.68401473366454 35.196228714434866, -111.68409382044385 35.196220434657796, -111.68419034082785 35.19620263889679, -111.68425646132434 35.19619044789531, -111.68432118314395 35.19617851529107, -111.6844398757458 35.19615316207996, -111.68453526964244 35.19613278671653, -111.68464958475393 35.19610607102205, -111.68472435872154 35.196085987814314, -111.68481648095394 35.19606124533666, -111.68492718663461 35.19603151177629, -111.68502538956315 35.19599478012592, -111.6850968451541 35.19596805264062, -111.68517721652427 35.19593799090773, -111.68529233472961 35.19588355441139, -111.68544290943922 35.19581235049412, -111.68559468160312 35.195740579061166, -111.68576491234944 35.19565446338843, -111.68583187007576 35.195620589392924, -111.68598108024446 35.19554510694544, -111.68618655549267 35.1954413397543))"
20,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,1.02,1.03,subsurface,Coconino,20N,7E,6,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.69177453649732 35.1405301265047, -111.69273401717082 35.140683050540126, -111.69284232075641 35.139839078558154, -111.69177453649732 35.1405301265047))"
21,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,110.0,110.53,subsurface,Coconino,21N,7E,24,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.59561401219274 35.1943524046389, -111.5978272894746 35.19433969581579, -111.59783461164247 35.196159750524075, -111.60004677860664 35.19613920852421, -111.60446991777563 35.196098175161026, -111.60444978203853 35.19353418200292, -111.60442737446209 35.19067903741682, -111.60222824474764 35.19066556965444, -111.60224200154789 35.192478588631, -111.59892245977345 35.19250078553236, -111.59889819358267 35.18885205284287, -111.5955850280501 35.188865492273834, -111.59560434811691 35.19252286717056, -111.59561401219274 35.1943524046389))"
22,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,18.98,16.66,subsurface,Coconino,21N,7E,19,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.69257238599667 35.19425033904955, -111.69257153978367 35.19418970336344, -111.69246653121853 35.19416891714204, -111.69223006588967 35.19411108054505, -111.6919544564723 35.19407499110428, -111.69142308501544 35.19402421802553, -111.69098379626512 35.19401058344108, -111.69061014202268 35.19400733354545, -111.69016452643778 35.194020635579626, -111.68983833378508 35.19405699152552, -111.68950311126711 35.19409435318192, -111.68908678525207 35.19419045949289, -111.68850267370486 35.194385225723266, -111.68781191416714 35.194635202600374, -111.68733344270073 35.19487075437659, -111.68688312443533 35.19510468237915, -111.68618655549267 35.1954413397543, -111.68819977257085 35.19543051038492, -111.69258788283366 35.19540694886687, -111.69257238599667 35.19425033904955))"
23,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,51.5,53.21,subsurface,Coconino,21N,7E,19,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.69038334346456 35.19401410348824, -111.69061014202268 35.19400733354545, -111.69098379626512 35.19401058344108, -111.69142308501544 35.19402421802553, -111.69171221407784 35.19405184543209, -111.6919544564723 35.19407499110428, -111.69223006588967 35.19411108054505, -111.69246653121853 35.19416891714204, -111.69257153978367 35.19418970336344, -111.69256291955023 35.1935964097324, -111.69040890412768 35.19360582764981, -111.69034732730988 35.191766107162636, -111.68816330276694 35.19178108264154, -111.6837847460872 35.19181100642846, -111.68381163356196 35.19545407189613, -111.68618655549267 35.1954413397543, -111.68688312443533 35.19510468237915, -111.68733344270073 35.19487075437659, -111.68781191416714 35.194635202600374, -111.68819045524472 35.19449821460352, -111.68850267370486 35.194385225723266, -111.68908678525207 35.19419045949289, -111.68930944616997 35.19413906029323, -111.68950311126711 35.19409435318192, -111.6898383355817 35.19405699152552, -111.69016452643778 35.194020635579626, -111.69038334346456 35.19401410348824))"
24,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,640.0,642.07,subsurface,Coconino,21N,8E,20,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.5778359242236 35.188557735648615, -111.57784252145106 35.18498289022223, -111.5778490890341 35.181408046127636, -111.57340249934461 35.1813751977746, -111.568955883604 35.18134235087669, -111.56450929481282 35.18130950249708, -111.56006267727555 35.18127665483838, -111.56009111524251 35.18491621478039, -111.56011955231116 35.18855577471486, -111.56012254909093 35.18939332625897, -111.5601323793551 35.19219789009902, -111.56014290940686 35.19521097309184, -111.56014517765294 35.195840033083535, -111.56096247657653 35.19584154898211, -111.56457565066792 35.19584730352385, -111.56684545803228 35.195850909380134, -111.56900609673343 35.195854796393206, -111.57342440206789 35.19584606658004, -111.57784268135119 35.19583731107275, -111.5778393027874 35.19219752377104, -111.5778359242236 35.188557735648615))"
25,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,189.69,188.71,subsurface,Coconino,21N,7E,19,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.69070072184772 35.18483789942444, -111.69059928947571 35.18497791902532, -111.69049424407966 35.185109244861756, -111.69043849014155 35.1852112389711, -111.69036187552591 35.1853569280479, -111.690313344941 35.18547631101969, -111.69024419891863 35.185668437459455, -111.69022721896313 35.185752780387645, -111.69020380168033 35.18591269178427, -111.69020200684638 35.18611895968712, -111.69019959666647 35.18629697518413, -111.69247551706634 35.186280761605026, -111.69249577766927 35.18809511915402, -111.69687030540496 35.18805844485075, -111.69684962798375 35.18622815995689, -111.70118501522421 35.18619418071455, -111.70116675337282 35.18436642277952, -111.70113025841606 35.18071088123998, -111.69678753463468 35.18073711300087, -111.69240344882436 35.18076390203197, -111.68804905862237 35.18082232743475, -111.68808730619222 35.184488679373054, -111.69110995386698 35.18444412480337, -111.69081640509336 35.18470941667492, -111.69070072184772 35.18483789942444))"
26,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,405.36,404.21,subsurface,Coconino,21N,7E,26,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.62633954619963 35.18135214246512, -111.63072527053703 35.181296216737486, -111.63070295728369 35.17768310924774, -111.63068064403036 35.17407002766608, -111.63059938242976 35.17029009381341, -111.63051814598198 35.1665101869166, -111.62614778193763 35.16661000496906, -111.62177741789326 35.16670985153882, -111.61740707990003 35.16680969798592, -111.61303671675398 35.166909514936386, -111.61308889539725 35.170581059636774, -111.61745542722862 35.17050854775363, -111.62182215219778 35.170435869114954, -111.62186685865453 35.1741618870457, -111.62191034070753 35.17778496362282, -111.62195384971002 35.18140804172228, -111.62633954619963 35.18135214246512))"
27,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,48.96,43.98,subsurface,Coconino,21N,7E,30,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.70097339370284 35.17187764464003, -111.69815754269807 35.178234071330024, -111.69765787638084 35.178860688494964, -111.69851002724253 35.17934341407026, -111.69973723192183 35.18001857761173, -111.70087411010101 35.18071243339806, -111.70113025841606 35.18071088123998, -111.70121934973271 35.177022115175355, -111.70130846799877 35.17333335060495, -111.70139755751876 35.169644612526604, -111.70147857387929 35.16629124857367, -111.70138871719804 35.16696164661704, -111.70133186372202 35.16814216358054, -111.70118499096971 35.1686304948438, -111.70094667421304 35.1703890355867, -111.70108851729809 35.17127158288857, -111.70097339370284 35.17187764464003))"
28,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,480.0,483.42,subsurface,Coconino,21N,6E,33,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.75447561921213 35.151369236263164, -111.75448639540228 35.15316302612849, -111.75456273423512 35.16588932815791, -111.77221960982801 35.16561166324605, -111.77219040559811 35.16194473679601, -111.77216129569133 35.15827735418661, -111.76333768005134 35.1584467408876, -111.76326747222029 35.15293928288734, -111.76323101858608 35.15103929546547, -111.75686022857485 35.15123854120934, -111.75447561921213 35.151369236263164))"
29,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,405.69,402.2,subsurface,Coconino,21N,6E,31,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.79005091309624 35.161809340219115, -111.79010816003434 35.165479720620155, -111.79890368266045 35.165332805508676, -111.80771792887204 35.16522972309227, -111.8077013172258 35.161588717725216, -111.79888298278136 35.16169347845355, -111.7987381168654 35.15074923220612, -111.79225419572225 35.150786590264836, -111.78994255740835 35.15079515231055, -111.79002541711183 35.158141279499965, -111.790047772586 35.161562589211705, -111.79004963659021 35.161727278462386, -111.79005091309624 35.161809340219115))"
30,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,163.19,165.63,subsurface,Coconino,21N,6E,32,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.77219040559811 35.16194473679601, -111.77221960982801 35.16561166324605, -111.79010816003434 35.165479720620155, -111.79005091309624 35.161809340219115, -111.79004963659021 35.161727278462386, -111.77219040559811 35.16194473679601))"
31,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,300.99,304.32,subsurface,Coconino,21N,6E,32,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.77226675431241 35.155526640968965, -111.77434031212657 35.155502661728995, -111.77435177193465 35.15641974713121, -111.77546392039237 35.15640965435439, -111.77547555267698 35.15732841139805, -111.77658941601858 35.157320535271744, -111.77660098452282 35.158236802589194, -111.79002541711183 35.158141279499965, -111.78994255740835 35.15079515231055, -111.78548487442342 35.150827945443986, -111.7810271914385 35.15084971008227, -111.77444004398774 35.150898037812006, -111.77210268780557 35.150913600338185, -111.77226675431241 35.155526640968965))"
32,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,640.51,641.79,subsurface,Coconino,21N,6E,12,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.71901677214167 35.21708311559037, -111.71900061414465 35.21342584552259, -111.71898442829986 35.20976857656168, -111.71453023616813 35.209792939073374, -111.71007601618862 35.209817303045774, -111.70572235452033 35.20986091450133, -111.70136869195373 35.20990455455805, -111.70139324201214 35.21354706831157, -111.7014178199183 35.21718958376388, -111.7014423699767 35.22083212657061, -111.7014669209334 35.22447464166119, -111.70586194103738 35.224455395434155, -111.71025693509021 35.224436175620546, -111.71465301161295 35.224416927916714, -111.71904911688179 35.22439768240977, -111.71903293103699 35.22074041315442, -111.71901677214167 35.21708311559037))"
33,AZ,36 Stat. 557-579 (1910),UNIV OF ARIZ (ACT 2.18.1881),State Land Department,University of Arizona,476.33,474.35,subsurface,Coconino,21N,7E,8,https://server.azgeo.az.gov/arcgis/rest/services/azland/Mineral_Parcels/MapServer/0,"POLYGON ((-111.67534453230877 35.2102959114142, -111.67111448870504 35.210478266678436, -111.67116929402222 35.21409980109913, -111.67122407238992 35.21772125322569, -111.67128096359518 35.221417035024935, -111.67133785569875 35.22511276300894, -111.67575998785631 35.225083543491316, -111.68012920115879 35.22501518821264, -111.68449838841015 35.224946831408744, -111.68415365452998 35.221071582103974, -111.68380892154812 35.217196304804816, -111.68388820416016 35.213563098103464, -111.6839674589244 35.2099299196238, -111.67965599561659 35.21011291572522, -111.67534453230877 35.2102959114142))"
