,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,township,range,section,data_source,geometry
10,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,40.81,40.69,surface,57,81,18,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.68057895272551 44.920026320771335, -106.67540876840775 44.920027903141914, -106.67541240591922 44.923639008893595, -106.68063731736854 44.923636425704096, -106.68058089914219 44.92013907317864, -106.68057895272551 44.920026320771335))"
11,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,39.53,39.41,surface,57,81,18,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.6753977451894 44.90919411223405, -106.67540143823219 44.912805440850356, -106.68046269694965 44.91280625145078, -106.68046016806682 44.912659305777616, -106.68040427691216 44.90919634192272, -106.6753977451894 44.90919411223405))"
12,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,160.0,159.75,surface,19,69,22,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-105.1000203489141 41.605136559603025, -105.09516857216086 41.60511352869681, -105.09514909910094 41.60871521806149, -105.0951296538434 41.61231687882718, -105.09997426483193 41.612337965445505, -105.10481887467161 41.61235905220489, -105.10484548686682 41.60875922459752, -105.10487212621534 41.60515939541629, -105.1000203489141 41.605136559603025))"
13,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,42.6,43.0,surface,19,81,4,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.50428209619878 41.65193642213724, -106.49940128664544 41.65213472229633, -106.4995826679127 41.6559853789128, -106.50451953494631 41.65572902210996, -106.50428209619878 41.65193642213724))"
14,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,42.84,39.94,surface,19,81,4,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.51382168633705 41.65164324147416, -106.50916029660934 41.65173798373739, -106.50945640439623 41.65547263993765, -106.5140798725159 41.655426258152666, -106.51382168633705 41.65164324147416))"
15,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,42.96,40.45,surface,19,81,4,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.51848329622278 41.651548304543184, -106.51382168633705 41.65164324147416, -106.5140798725159 41.655426258152666, -106.51870337046672 41.65537987677651, -106.51848329622278 41.651548304543184))"
16,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,320.0,314.28,surface,19,81,4,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.51309348664064 41.64095282231121, -106.50831342652592 41.64105445461169, -106.50353336533941 41.64115611536766, -106.49875330630493 41.64125775146654, -106.49899429981528 41.644884241941476, -106.4992352935115 41.64851073114672, -106.50405929809041 41.6483772640142, -106.50888327522199 41.64824357550938, -106.51358080354315 41.64811322139349, -106.51827830559898 41.647982644950694, -106.51807592722648 41.64441690348516, -106.5178735490054 41.640851160848484, -106.51309348664064 41.64095282231121))"
17,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,320.0,321.96,surface,19,80,8,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.40721570690059 41.62674680680788, -106.40238934252396 41.62674086283119, -106.40245870350763 41.6303668818878, -106.4025280621877 41.63399287423069, -106.4025974212084 41.637618894816136, -106.40266675274448 41.64124488661116, -106.40755811699921 41.641234830709074, -106.41244945318103 41.64122477435051, -106.41234759422139 41.637606976522804, -106.41224576140955 41.633989179152366, -106.41214390310647 41.630370965614986, -106.41204204215815 41.626752751383286, -106.40721570690059 41.62674680680788))"
18,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,640.0,637.74,surface,19,82,32,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.64540274922948 41.56854468933139, -106.64055172684631 41.56854319017948, -106.6357453179289 41.56854488411687, -106.6309389095252 41.568546577768714, -106.63097101771288 41.572150352875184, -106.63100312561185 41.575754157402315, -106.63103526042843 41.57935793210208, -106.63106736895541 41.582961708071224, -106.63587438677595 41.582982404352514, -106.64068137493817 41.58300310008515, -106.64548839186673 41.58302382273987, -106.65029540952379 41.58304451805883, -106.6502849993152 41.57941993657783, -106.65027458915225 41.575795354835286, -106.65026418062267 41.57217074403548, -106.6502537693398 41.568546162703825, -106.64540274922948 41.56854468933139))"
19,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,80.0,78.82,surface,19,69,18,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-105.16283277925241 41.61260512021753, -105.16286339419804 41.616210060974005, -105.16289401014834 41.619814975109385, -105.16759853283662 41.61992369925131, -105.16762877981927 41.616297868962356, -105.16765900113039 41.61267251173178, -105.16283277925241 41.61260512021753))"
20,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,36.75,36.18,surface,19,69,18,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-105.16762877981927 41.616297868962356, -105.16759853283662 41.61992369925131, -105.17195024112321 41.62002408963553, -105.17197640536111 41.616377815845, -105.16762877981927 41.616297868962356))"
21,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,160.0,159.79,surface,19,70,8,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-105.26435941718195 41.62760825461787, -105.25951635817806 41.62757330304053, -105.25955975762285 41.631183357276726, -105.259603184731 41.63479338444053, -105.26444383029857 41.6348240573722, -105.26928450141071 41.63485450882062, -105.26924348908986 41.6312488710272, -105.26920250537725 41.627643205276925, -105.26435941718195 41.62760825461787))"
22,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,640.0,617.34,surface,19,79,20,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.30310649930884 41.597482680977485, -106.29842680303291 41.59746184595673, -106.2937471073078 41.59744101155621, -106.28906741040026 41.59742020477935, -106.28911764129793 41.60097625276655, -106.28916784670125 41.60453230173677, -106.28921807585388 41.60808834950734, -106.28926827952634 41.61164439733369, -106.29398917021742 41.611730814086435, -106.2987100333427 41.61181720421817, -106.30343092484856 41.61190359265119, -106.30815178708218 41.61198998237165, -106.30806038945491 41.60836837936625, -106.30796899210905 41.60474674878466, -106.30787759331689 41.60112511854554, -106.30778622256075 41.59750351599927, -106.30310649930884 41.597482680977485))"
23,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,160.0,159.98,surface,57,81,29,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.65503138596343 44.88023915834229, -106.64993743907546 44.88023753565608, -106.6499411272624 44.883856951318336, -106.64994478751024 44.88747639470247, -106.65503948690527 44.88747671037798, -106.6601341854999 44.88747677576918, -106.66012977427611 44.883858805012224, -106.66012536001774 44.88024080816628, -106.65503138596343 44.88023915834229))"
24,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,39.05,38.99,surface,57,81,19,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.6754021910986 44.905577199532175, -106.6753977451894 44.90919411223405, -106.68040427691216 44.90919634192272, -106.68039949667444 44.908919449720216, -106.6803380238926 44.90558007117885, -106.6754021910986 44.905577199532175))"
25,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,160.0,159.58,surface,57,81,18,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.6703046513929 44.90919179991992, -106.67030784284142 44.9128043791506, -106.67031103452628 44.91641695922609, -106.67031422731455 44.92002920446282, -106.67031742033929 44.92364145051661, -106.67541240591922 44.923639008893595, -106.67540876840775 44.920027903141914, -106.67540510335031 44.91641679621959, -106.67540143823219 44.912805440850356, -106.6753977451894 44.90919411223405, -106.6703046513929 44.90919179991992))"
26,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,37.95,37.88,surface,57,81,19,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.6754112770949 44.898344569594215, -106.67540660935806 44.90196031449111, -106.68027202086762 44.90196396672134, -106.68026290452124 44.90144007121602, -106.68020626602078 44.89834769647433, -106.6754112770949 44.898344569594215))"
27,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,160.0,159.76,surface,57,81,19,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.67032455098648 44.89472573167559, -106.67031960365178 44.898341005910865, -106.67031462899139 44.90195627994896, -106.67030962556258 44.905574025906986, -106.6703046513929 44.90919179991992, -106.6753977451894 44.90919411223405, -106.6754021910986 44.905577199532175, -106.67540660935806 44.90196031449111, -106.6754112770949 44.898344569594215, -106.67541591893253 44.89472890730378, -106.67032455098648 44.89472573167559))"
28,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,37.39,37.33,surface,57,81,19,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.67541591893253 44.89472890730378, -106.6754112770949 44.898344569594215, -106.68020626602078 44.89834769647433, -106.68019498382911 44.89770038108676, -106.68014076323871 44.894731619558655, -106.67541591893253 44.89472890730378))"
29,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,163.76,101.95,surface,49,100,42,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-108.91087717237582 44.173118408048346, -108.92090255380457 44.173080291790605, -108.92087969806379 44.16848735119262, -108.91893015908795 44.168488323108186, -108.91356509441432 44.168490853877884, -108.91078339323738 44.16849203407507, -108.91076202147897 44.168492055653296, -108.91087717237582 44.173118408048346))"
30,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,160.0,156.3,surface,56,84,6,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-107.01523532721392 44.85376696229173, -107.01593813171634 44.857317883695885, -107.0211226465109 44.857249241340284, -107.02630716220253 44.85718034892051, -107.02555402168005 44.8537550955663, -107.0248009650927 44.85032981426975, -107.01966675758744 44.85027292748009, -107.01453254944282 44.850216011789556, -107.01523532721392 44.85376696229173))"
31,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,320.0,329.67,surface,56,84,5,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.99401246629658 44.853474289644126, -106.99407844278429 44.85708980332946, -106.99944560979581 44.85714620400443, -107.00481279466719 44.85720234187538, -107.01037546407619 44.85726025147684, -107.01593813171634 44.857317883695885, -107.01523532721392 44.85376696229173, -107.01453254944282 44.850216011789556, -107.0093860358628 44.85012673661135, -107.00423949304094 44.85003743311251, -106.9990929852956 44.849948124059885, -106.99394649115573 44.84985880306543, -106.99401246629658 44.853474289644126))"
32,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,39.57,43.09,surface,56,84,5,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.9941111670287 44.860707317434546, -106.9941435016125 44.864303163851574, -106.99788489679239 44.864289160532714, -106.99976192706215 44.86428545079209, -106.99960444933397 44.86073160492018, -106.9941111670287 44.860707317434546))"
33,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,39.47,42.59,surface,56,84,5,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.99960444933397 44.86073160492018, -106.99976192706215 44.86428545079209, -107.00299548133103 44.86427483283422, -107.00537834390394 44.864268945164135, -107.00509716673317 44.86075563000225, -106.99960444933397 44.86073160492018))"
34,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,38.73,38.68,surface,56,84,6,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-107.03485214486386 44.85011325674608, -107.02990722455424 44.85021825672885, -107.03104143350771 44.85366097769973, -107.03635228586461 44.85356966724666, -107.03485214486386 44.85011325674608))"
35,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,80.0,82.18,surface,56,84,6,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-107.0248009650927 44.85032981426975, -107.02555402168005 44.8537550955663, -107.02630716220253 44.85718034892051, -107.03217522765975 44.85710208749112, -107.03104143350771 44.85366097769973, -107.02990722455424 44.85021825672885, -107.0248009650927 44.85032981426975))"
36,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,160.0,170.84,surface,56,84,5,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.9941111670287 44.860707317434546, -106.99960444933397 44.86073160492018, -107.00509716673317 44.86075563000225, -107.01068128300265 44.860834122367976, -107.01625892472622 44.86091225391559, -107.01593813171634 44.857317883695885, -107.01037546407619 44.85726025147684, -107.00481279466719 44.85720234187538, -106.99944560979581 44.85714620400443, -106.99407844278429 44.85708980332946, -106.9941111670287 44.860707317434546))"
37,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,38.71,41.37,surface,56,84,6,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-107.03635228586461 44.85356966724666, -107.03104143350771 44.85366097769973, -107.03217522765975 44.85710208749112, -107.03785242561466 44.85702607881184, -107.03635228586461 44.85356966724666))"
38,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,36.97,37.15,surface,56,82,18,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.78470603767717 44.82841531441101, -106.78475099940555 44.832051351243294, -106.78943642004194 44.832066261809054, -106.78943123719151 44.828430447311426, -106.78470603767717 44.82841531441101))"
39,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,320.0,327.15,surface,20,81,22,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.49473533443351 41.6851678774548, -106.4898128648773 41.68515426726188, -106.48981435177433 41.688819703904095, -106.48981581078986 41.69248516940382, -106.48981724231123 41.69615018996504, -106.48981870004626 41.69981523804004, -106.49470425016816 41.69976701627796, -106.49958977258666 41.69971879393945, -106.49960678689307 41.696084467052046, -106.49962377404542 41.692450140145084, -106.49964078931676 41.68881581372634, -106.49965777745139 41.685181486416084, -106.49473533443351 41.6851678774548))"
40,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,160.0,164.64,surface,20,81,22,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.48491178721017 41.69250236448597, -106.4800077906859 41.69251936504709, -106.4800277239501 41.69621552383392, -106.48004762834033 41.699911683541124, -106.48493317866958 41.699863460634674, -106.48981870004626 41.69981523804004, -106.48981724231123 41.69615018996504, -106.48981581078986 41.69248516940382, -106.48491178721017 41.69250236448597))"
41,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,36.66,36.84,surface,56,82,18,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.78475099940555 44.832051351243294, -106.78479595975814 44.83568752766537, -106.78944160307364 44.835702104355995, -106.78943642004194 44.832066261809054, -106.78475099940555 44.832051351243294))"
42,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,320.0,321.96,surface,20,81,28,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.51391565830868 41.677647273604656, -106.50915516084822 41.67772962613322, -106.50438196769346 41.67781198072701, -106.49960880352715 41.67789416926538, -106.49963329145352 41.68153782772446, -106.49965777745139 41.685181486416084, -106.5044931920774 41.68512913190889, -106.50932860858819 41.68507677688969, -106.514138495748 41.685017368306845, -106.518948383065 41.68495793077742, -106.51881228351948 41.68126135601081, -106.51867618602886 41.677564752502576, -106.51391565830868 41.677647273604656))"
43,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,320.0,311.68,surface,20,82,26,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.5892065179175 41.677070368622, -106.58453341226094 41.67708866609826, -106.57967952129472 41.67710746612677, -106.57482560320925 41.677126070073626, -106.57494241541849 41.680717259796005, -106.57505920054146 41.684308422239795, -106.57977969552739 41.684300401874665, -106.58450022044707 41.684292354029786, -106.58919052036423 41.68428127836723, -106.59388081979708 41.68427017481363, -106.59388023627092 41.68066104039708, -106.59387962524717 41.67705190418379, -106.5892065179175 41.677070368622))"
44,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,320.0,318.53,surface,20,80,22,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.36910852711432 41.68489999038207, -106.36424117040357 41.68486032482782, -106.36426514251175 41.688440678967766, -106.36428911499233 41.69202103323008, -106.36431311617979 41.69560141581133, -106.3643370882215 41.69918176936435, -106.36919869304002 41.69923040696096, -106.37406029916582 41.699279045282495, -106.3740392435878 41.695701052545736, -106.3740181887507 41.69212308783142, -106.37399702299857 41.688531372219366, -106.37397588565686 41.684939684056026, -106.36910852711432 41.68489999038207))"
45,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,36.43,36.13,surface,20,80,18,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.43709321908445 41.71093493156074, -106.43711821158583 41.71453942373279, -106.44152663345496 41.7146438175136, -106.44148486339503 41.71105554656833, -106.43709321908445 41.71093493156074))"
46,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,320.0,317.12,surface,20,81,12,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.45592446242472 41.71455618136097, -106.45112519544699 41.714585401961976, -106.44632592825432 41.71461459548355, -106.44152663345496 41.7146438175136, -106.4415685437295 41.718232115006316, -106.4416104244076 41.72182038608698, -106.44639193994185 41.72182591446879, -106.45117348426425 41.72183122027112, -106.45595627717834 41.721836332865294, -106.46073909836865 41.721841249786735, -106.46073141392239 41.718184091210695, -106.46072372998269 41.71452695890841, -106.45592446242472 41.71455618136097))"
47,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,640.0,634.44,surface,21,120,12,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-110.98342317244564 41.808476053313036, -110.98342855532277 41.810281532683824, -110.98343385536009 41.81208701253846, -110.98343920988354 41.81389249221774, -110.98344989053746 41.817503424546466, -110.98346054484365 41.82111438356877, -110.98827674542618 41.82111096377665, -110.99309291879776 41.82110737790687, -110.99790898032207 41.821103902647444, -111.00272503528419 41.82110024265063, -111.00271629919328 41.81749206141763, -111.0027075643082 41.81388390781577, -111.00269882807945 41.81027586577544, -111.00269009180326 41.80666785053176, -110.99787200912715 41.80666867696786, -110.99305391757024 41.806669290585845, -110.98823588211695 41.80667001479388, -110.98341784645861 41.806670573695705, -110.98342317244564 41.808476053313036))"
48,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,80.0,79.65,surface,20,80,18,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.43226411620459 41.71080212716222, -106.43228716437885 41.714421092867916, -106.43711821158583 41.71453942373279, -106.43709321908445 41.71093493156074, -106.43706825336719 41.707332299742895, -106.43224103993758 41.707183134262515, -106.43226411620459 41.71080212716222))"
49,WY,26 Stat. 222-226 (1890),Agricultural College,Board of Commissioners of Public Lands,University of Wyoming,36.31,35.99,surface,20,80,18,https://gis2.statelands.wyo.gov/arcgis/rest/services/Services/MapViewerService2/MapServer/18,"POLYGON ((-106.43706825336719 41.707332299742895, -106.43709321908445 41.71093493156074, -106.44148486339503 41.71105554656833, -106.441443092119 41.7074672765289, -106.43706825336719 41.707332299742895))"
