,state,university,rights_type,acres,gis_acres,managing_agency,county,section,block,data_source,geometry
11,TX,Texas A&M,surface+subsurface,404.9,407.4,General Land Office,Andrews,05,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.26488900259933 32.516147694700386, -102.26713025880902 32.523182962061355, -102.27712884119624 32.52317544905263, -102.28487078013129 32.52317011594468, -102.28143022810151 32.51237040710774, -102.26488900259933 32.516147694700386))"
12,TX,Texas A&M,surface+subsurface,125.1,232.8,General Land Office,Gaines,05,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.26713025880902 32.523182962061355, -102.26935387929306 32.530162326499905, -102.2858941202417 32.52638207571573, -102.28487078013129 32.52317011594468, -102.27712884119624 32.52317544905263, -102.26713025880902 32.523182962061355))"
13,TX,Texas A&M,surface+subsurface,0.2,0.27,General Land Office,Martin,13,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.21082609091052 32.513455795374, -102.21107871423641 32.514251830452395, -102.21107299825626 32.51339950418988, -102.21082609091052 32.513455795374))"
14,TX,Texas A&M,surface+subsurface,525.7,531.88,General Land Office,Andrews,13,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.21392955282487 32.523234547987435, -102.2153279108203 32.52324411667131, -102.2184588297413 32.52326545287088, -102.22037883043909 32.52324544900041, -102.223848838227 32.52320545336513, -102.22967883525065 32.523205451850295, -102.23165770793891 32.52320545109284, -102.22735847609201 32.50968658832166, -102.21107299825626 32.51339950418988, -102.21107871423641 32.514251830452395, -102.21392955282487 32.523234547987435))"
15,TX,Texas A&M,surface+subsurface,114.1,107.76,General Land Office,Gaines,13,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.21392955282487 32.523234547987435, -102.21527397507234 32.52747038117274, -102.23181536586452 32.523701163483466, -102.23165770793891 32.52320545109284, -102.22967883525065 32.523205451850295, -102.223848838227 32.52320545336513, -102.22037883043909 32.52324544900041, -102.2184588297413 32.52326545287088, -102.2153279108203 32.52324411667131, -102.21392955282487 32.523234547987435))"
16,TX,Texas A&M,surface+subsurface,576.2,577.45,General Land Office,Andrews,06,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.28143022810151 32.51237040710774, -102.28487078013129 32.52317011594468, -102.29164884922432 32.52316544635054, -102.29995857282626 32.523165447107935, -102.30242734804291 32.52260081071905, -102.297963442428 32.5085901032757, -102.28143022810151 32.51237040710774))"
17,TX,Texas A&M,surface+subsurface,63.8,62.44,General Land Office,Gaines,06,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.28487078013129 32.52317011594468, -102.2858941202417 32.52638207571573, -102.29995857282626 32.523165447107935, -102.29164884922432 32.52316544635054, -102.28487078013129 32.52317011594468))"
18,TX,Texas A&M,surface+subsurface,637.8,638.65,General Land Office,Andrews,12,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.22735847609201 32.50968658832166, -102.23165770793891 32.52320545109284, -102.23398626332623 32.52320544957796, -102.24835675755504 32.51992395020115, -102.24389986508757 32.50591336260151, -102.22735847609201 32.50968658832166))"
19,TX,Texas A&M,surface+subsurface,2.2,1.49,General Land Office,Gaines,12,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.23165770793891 32.52320545109284, -102.23181536586452 32.523701163483466, -102.23398626332623 32.52320544957796, -102.23165770793891 32.52320545109284))"
20,TX,Texas A&M,surface+subsurface,640.0,640.02,General Land Office,Andrews,07,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.297963442428 32.5085901032757, -102.30242734804291 32.52260081071905, -102.31896855917203 32.51881651274653, -102.31449665675449 32.50480976624664, -102.297963442428 32.5085901032757))"
21,TX,Texas A&M,surface+subsurface,640.0,639.8,General Land Office,Andrews,11,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.24389986508757 32.50591336260151, -102.24835675755504 32.51992395020115, -102.26488900259933 32.516147694700386, -102.26043315666917 32.502136087432824, -102.24389986508757 32.50591336260151))"
22,TX,Texas A&M,surface+subsurface,647.3,647.32,General Land Office,Andrews,01,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.31449665675449 32.50480976624664, -102.31896855917203 32.51881651274653, -102.33569177346932 32.51499019266473, -102.3312198566787 32.50097940581003, -102.31449665675449 32.50480976624664))"
23,TX,Texas A&M,surface+subsurface,640.0,640.05,General Land Office,Martin,15,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.1898358035552 32.50320944728079, -102.19428468754191 32.517225014819154, -102.21082609091052 32.513455795374, -102.20637720782211 32.49944424208048, -102.1898358035552 32.50320944728079))"
24,TX,Texas A&M,surface+subsurface,640.0,640.02,General Land Office,Andrews,10,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.26043315666917 32.502136087432824, -102.26488900259933 32.516147694700386, -102.28143022810151 32.51237040710774, -102.27696637638553 32.498359805979376, -102.26043315666917 32.502136087432824))"
25,TX,Texas A&M,surface+subsurface,647.3,647.21,General Land Office,Andrews,02,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.3312198566787 32.50097940581003, -102.33569177346932 32.51499019266473, -102.35240798000906 32.51115985079678, -102.34793608387972 32.4971491299798, -102.3312198566787 32.50097940581003))"
26,TX,Texas A&M,surface+subsurface,95.3,95.34,General Land Office,Martin,16,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.20637720782211 32.49944424208048, -102.21082609091052 32.513455795374, -102.21107299825626 32.51339950418988, -102.21104882818521 32.509795448921686, -102.21106883276829 32.503445452102156, -102.211085220734 32.49837010768117, -102.20637720782211 32.49944424208048))"
27,TX,Texas A&M,surface+subsurface,544.7,544.45,General Land Office,Andrews,16,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.211085220734 32.49837010768117, -102.21106883276829 32.503445452102156, -102.21104882818521 32.509795448921686, -102.21107299825626 32.51339950418988, -102.22735847609201 32.50968658832166, -102.22291062516786 32.495672081449804, -102.211085220734 32.49837010768117))"
28,TX,Texas A&M,surface+subsurface,640.0,639.96,General Land Office,Andrews,09,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.27696637638553 32.498359805979376, -102.28143022810151 32.51237040710774, -102.297963442428 32.5085901032757, -102.29349963203452 32.494579562430566, -102.27696637638553 32.498359805979376))"
29,TX,Texas A&M,surface+subsurface,647.3,647.46,General Land Office,Andrews,03,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.34793608387972 32.4971491299798, -102.35240798000906 32.51115985079678, -102.36913217706326 32.507325491204845, -102.3646603393244 32.49331890318652, -102.34793608387972 32.4971491299798))"
30,TX,Texas A&M,surface+subsurface,640.0,640.09,General Land Office,Andrews,17,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.22291062516786 32.495672081449804, -102.22735847609201 32.50968658832166, -102.24389986508757 32.50591336260151, -102.23944304807857 32.491898925366684, -102.22291062516786 32.495672081449804))"
31,TX,Texas A&M,surface+subsurface,640.0,640.01,General Land Office,Andrews,08,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.29349963203452 32.494579562430566, -102.297963442428 32.5085901032757, -102.31449665675449 32.50480976624664, -102.31003287690373 32.490798329566395, -102.29349963203452 32.494579562430566))"
32,TX,Texas A&M,surface+subsurface,647.3,647.13,General Land Office,Andrews,04,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.3646603393244 32.49331890318652, -102.36913217706326 32.507325491204845, -102.38584836204345 32.50349109536233, -102.38137659077991 32.48948465726891, -102.3646603393244 32.49331890318652))"
33,TX,Texas A&M,surface+subsurface,640.0,639.96,General Land Office,Andrews,18,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.23944304807857 32.491898925366684, -102.24389986508757 32.50591336260151, -102.26043315666917 32.502136087432824, -102.25597641691527 32.48812573908538, -102.23944304807857 32.491898925366684))"
34,TX,Texas A&M,surface+subsurface,647.3,647.37,General Land Office,Andrews,12,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.31003287690373 32.490798329566395, -102.31449665675449 32.50480976624664, -102.3312198566787 32.50097940581003, -102.3267561325235 32.48697208178395, -102.31003287690373 32.490798329566395))"
35,TX,Texas A&M,surface+subsurface,647.3,647.1,General Land Office,Andrews,05,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.38137659077991 32.48948465726891, -102.38584836204345 32.50349109536233, -102.40256454253206 32.49965369639969, -102.39808484453447 32.485646434178165, -102.38137659077991 32.48948465726891))"
36,TX,Texas A&M,surface+subsurface,640.0,640.16,General Land Office,Martin,28,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.18538701389157 32.489195050916415, -102.1898358035552 32.50320944728079, -102.20637720782211 32.49944424208048, -102.20192843073491 32.48542989558422, -102.18538701389157 32.489195050916415))"
37,TX,Texas A&M,surface+subsurface,640.0,639.94,General Land Office,Andrews,19,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.25597641691527 32.48812573908538, -102.26043315666917 32.502136087432824, -102.27696637638553 32.498359805979376, -102.27250966897101 32.48434850269778, -102.25597641691527 32.48812573908538))"
38,TX,Texas A&M,surface+subsurface,647.3,647.08,General Land Office,Andrews,11,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.3267561325235 32.48697208178395, -102.3312198566787 32.50097940581003, -102.34793608387972 32.4971491299798, -102.34347238577566 32.483141843779165, -102.3267561325235 32.48697208178395))"
39,TX,Texas A&M,surface+subsurface,647.3,647.31,General Land Office,Andrews,06,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.39808484453447 32.485646434178165, -102.40256454253206 32.49965369639969, -102.41928079308926 32.49581546922464, -102.4148011031765 32.4818091931372, -102.39808484453447 32.485646434178165))"
40,TX,Texas A&M,surface+subsurface,267.4,268.83,General Land Office,Martin,27,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.20192843073491 32.48542989558422, -102.20637720782211 32.49944424208048, -102.211085220734 32.49837010768117, -102.21109882841392 32.494155446378656, -102.21110239023405 32.48333851304346, -102.20192843073491 32.48542989558422))"
41,TX,Texas A&M,surface+subsurface,372.6,371.07,General Land Office,Andrews,27,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.21110239023405 32.48333851304346, -102.21109882841392 32.494155446378656, -102.211085220734 32.49837010768117, -102.22291062516786 32.495672081449804, -102.21846186784359 32.48166074224813, -102.21110239023405 32.48333851304346))"
42,TX,Texas A&M,surface+subsurface,640.0,640.02,General Land Office,Andrews,20,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.27250966897101 32.48434850269778, -102.27696637638553 32.498359805979376, -102.29349963203452 32.494579562430566, -102.28904291114527 32.48056826981646, -102.27250966897101 32.48434850269778))"
43,TX,Texas A&M,surface+subsurface,647.3,647.4,General Land Office,Andrews,10,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.34347238577566 32.483141843779165, -102.34793608387972 32.4971491299798, -102.3646603393244 32.49331890318652, -102.36018863723116 32.47930761507347, -102.34347238577566 32.483141843779165))"
44,TX,Texas A&M,surface+subsurface,639.9,639.92,General Land Office,Andrews,01,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.4148011031765 32.4818091931372, -102.41928079308926 32.49581546922464, -102.43580604385073 32.492016241444375, -102.4313193488754 32.47800896697471, -102.4148011031765 32.4818091931372))"
45,TX,Texas A&M,surface+subsurface,640.0,639.85,General Land Office,Andrews,26,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.21846186784359 32.48166074224813, -102.22291062516786 32.495672081449804, -102.23944304807857 32.491898925366684, -102.23499428536442 32.47788759422446, -102.21846186784359 32.48166074224813))"
46,TX,Texas A&M,surface+subsurface,640.0,639.93,General Land Office,Andrews,21,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.28904291114527 32.48056826981646, -102.29349963203452 32.494579562430566, -102.31003287690373 32.490798329566395, -102.3055681655 32.47678802896306, -102.28904291114527 32.48056826981646))"
47,TX,Texas A&M,surface+subsurface,647.3,647.34,General Land Office,Andrews,09,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.36018863723116 32.47930761507347, -102.3646603393244 32.49331890318652, -102.38137659077991 32.48948465726891, -102.37689789170892 32.47547339050979, -102.36018863723116 32.47930761507347))"
48,TX,Texas A&M,surface+subsurface,641.9,642.02,General Land Office,Andrews,02,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.4313193488754 32.47800896697471, -102.43580604385073 32.492016241444375, -102.45237730542277 32.488205008367316, -102.44789861263997 32.474197743886364, -102.4313193488754 32.47800896697471))"
49,TX,Texas A&M,surface+subsurface,640.0,639.9,General Land Office,Andrews,25,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.23499428536442 32.47788759422446, -102.23944304807857 32.491898925366684, -102.25597641691527 32.48812573908538, -102.25152070303744 32.4741114362447, -102.23499428536442 32.47788759422446))"
50,TX,Texas A&M,surface+subsurface,647.3,647.41,General Land Office,Andrews,13,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.3055681655 32.47678802896306, -102.31003287690373 32.490798329566395, -102.3267561325235 32.48697208178395, -102.32228441785385 32.472961793287, -102.3055681655 32.47678802896306))"
51,TX,Texas A&M,surface+subsurface,647.3,647.25,General Land Office,Andrews,08,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.37689789170892 32.47547339050979, -102.38137659077991 32.48948465726891, -102.39808484453447 32.485646434178165, -102.39361414226613 32.47164014777231, -102.37689789170892 32.47547339050979))"
52,TX,Texas A&M,surface+subsurface,640.5,640.52,General Land Office,Andrews,03,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.44789861263997 32.474197743886364, -102.45237730542277 32.488205008367316, -102.46891856056936 32.48439778609037, -102.4644318646957 32.47039452560904, -102.44789861263997 32.474197743886364))"
53,TX,Texas A&M,surface+subsurface,640.0,640.08,General Land Office,Martin,29,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.18094623989525 32.47518070694685, -102.18538701389157 32.489195050916415, -102.20192843073491 32.48542989558422, -102.19747967251234 32.4714155549204, -102.18094623989525 32.47518070694685))"
54,TX,Texas A&M,surface+subsurface,640.0,640.07,General Land Office,Andrews,24,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.25152070303744 32.4741114362447, -102.25597641691527 32.48812573908538, -102.27250966897101 32.48434850269778, -102.26805394611003 32.47033820141176, -102.25152070303744 32.4741114362447))"
55,TX,Texas A&M,surface+subsurface,647.3,647.39,General Land Office,Andrews,14,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.32228441785385 32.472961793287, -102.3267561325235 32.48697208178395, -102.34347238577566 32.483141843779165, -102.33900067290261 32.4691315683974, -102.32228441785385 32.472961793287))"
56,TX,Texas A&M,surface+subsurface,647.3,647.22,General Land Office,Andrews,07,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.39361414226613 32.47164014777231, -102.39808484453447 32.485646434178165, -102.4148011031765 32.4818091931372, -102.41032240051224 32.46780192838798, -102.39361414226613 32.47164014777231))"
57,TX,Texas A&M,surface+subsurface,641.1,640.97,General Land Office,Andrews,04,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.4644318646957 32.47039452560904, -102.46891856056936 32.48439778609037, -102.485466813592 32.48058656147218, -102.48098012041329 32.46658329697557, -102.4644318646957 32.47039452560904))"
58,TX,Texas A&M,surface+subsurface,439.5,441.35,General Land Office,Martin,30,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.19747967251234 32.4714155549204, -102.20192843073491 32.48542989558422, -102.21110239023405 32.48333851304346, -102.21110733815462 32.468308847047325, -102.19747967251234 32.4714155549204))"
59,TX,Texas A&M,surface+subsurface,200.5,198.69,General Land Office,Andrews,30,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.21110733815462 32.468308847047325, -102.21110239023405 32.48333851304346, -102.21846186784359 32.48166074224813, -102.21401310243449 32.46764640437754, -102.21110733815462 32.468308847047325))"
60,TX,Texas A&M,surface+subsurface,640.0,639.96,General Land Office,Andrews,23,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.26805394611003 32.47033820141176, -102.27250966897101 32.48434850269778, -102.28904291114527 32.48056826981646, -102.28457920405803 32.466557969042, -102.26805394611003 32.47033820141176))"
61,TX,Texas A&M,surface+subsurface,647.3,647.35,General Land Office,Andrews,15,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.33900067290261 32.4691315683974, -102.34347238577566 32.483141843779165, -102.36018863723116 32.47930761507347, -102.3557169288497 32.46530133291521, -102.33900067290261 32.4691315683974))"
62,TX,Texas A&M,surface+subsurface,639.9,639.74,General Land Office,Andrews,12,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.41032240051224 32.46780192838798, -102.4148011031765 32.4818091931372, -102.4313193488754 32.47800896697471, -102.42684064890608 32.46400670143789, -102.41032240051224 32.46780192838798))"
63,TX,Texas A&M,surface+subsurface,641.1,641.02,General Land Office,Andrews,05,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.48098012041329 32.46658329697557, -102.485466813592 32.48058656147218, -102.50201511781863 32.47677144998233, -102.49752837972414 32.46276908444813, -102.48098012041329 32.46658329697557))"
64,TX,Texas A&M,surface+subsurface,640.0,639.99,General Land Office,Andrews,31,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.21401310243449 32.46764640437754, -102.21846186784359 32.48166074224813, -102.23499428536442 32.47788759422446, -102.2305385193843 32.4638732593932, -102.21401310243449 32.46764640437754))"
65,TX,Texas A&M,surface+subsurface,640.0,640.02,General Land Office,Andrews,22,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.28457920405803 32.466557969042, -102.28904291114527 32.48056826981646, -102.3055681655 32.47678802896306, -102.3011124525205 32.462776732111834, -102.28457920405803 32.466557969042))"
66,TX,Texas A&M,surface+subsurface,647.3,647.06,General Land Office,Andrews,16,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.3557169288497 32.46530133291521, -102.36018863723116 32.47930761507347, -102.37689789170892 32.47547339050979, -102.37242618602241 32.4614671045699, -102.3557169288497 32.46530133291521))"
67,TX,Texas A&M,surface+subsurface,641.9,641.91,General Land Office,Andrews,11,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.42684064890608 32.46400670143789, -102.4313193488754 32.47800896697471, -102.44789861263997 32.474197743886364, -102.4434119104781 32.4601954791121, -102.42684064890608 32.46400670143789))"
68,TX,Texas A&M,surface+subsurface,646.0,645.96,General Land Office,Andrews,06,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.49752837972414 32.46276908444813, -102.50201511781863 32.47677144998233, -102.51869388257734 32.472931425109316, -102.51419904617057 32.45892779916495, -102.49752837972414 32.46276908444813))"
69,TX,Texas A&M,surface+subsurface,640.0,640.0,General Land Office,Andrews,32,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.2305385193843 32.4638732593932, -102.23499428536442 32.47788759422446, -102.25152070303744 32.4741114362447, -102.24707194840815 32.46010010412938, -102.2305385193843 32.4638732593932))"
70,TX,Texas A&M,surface+subsurface,647.3,647.19,General Land Office,Andrews,24,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-102.3011124525205 32.462776732111834, -102.3055681655 32.47678802896306, -102.32228441785385 32.472961793287, -102.31782071346156 32.45895050285399, -102.3011124525205 32.462776732111834))"
