,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,county,meridian,township,range,section,data_source,geometry
17,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,39.62,40.48,subsurface,Millard,SL,20S,8W,5,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.7751309952221 39.10827568324104, -112.77505899822278 39.11189125973237, -112.7797770983664 39.11191183995622, -112.77984721063666 39.108295300113916, -112.7751309952221 39.10827568324104))"
18,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,39.62,40.48,subsurface,Millard,SL,20S,8W,5,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.7751309952221 39.10827568324104, -112.77505899822278 39.11189125973237, -112.7797770983664 39.11191183995622, -112.77984721063666 39.108295300113916, -112.7751309952221 39.10827568324104))"
19,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,160.0,164.1,subsurface,Washington,SL,41S,13W,3,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-113.29693215144397 37.2478051592588, -113.29695956623395 37.25148435665862, -113.29698679215454 37.25514580193807, -113.3015986551607 37.25518245570348, -113.3062316852849 37.25521815641546, -113.30617062505091 37.25156359735777, -113.30609599705741 37.24790722788539, -113.30150826533726 37.24785612504843, -113.29693215144397 37.2478051592588))"
20,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,160.0,164.1,subsurface,Washington,SL,41S,13W,3,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-113.29693215144397 37.2478051592588, -113.29695956623395 37.25148435665862, -113.29698679215454 37.25514580193807, -113.3015986551607 37.25518245570348, -113.3062316852849 37.25521815641546, -113.30617062505091 37.25156359735777, -113.30609599705741 37.24790722788539, -113.30150826533726 37.24785612504843, -113.29693215144397 37.2478051592588))"
21,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,160.0,164.1,subsurface,Washington,SL,41S,13W,3,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-113.29693215144397 37.2478051592588, -113.29695956623395 37.25148435665862, -113.29698679215454 37.25514580193807, -113.3015986551607 37.25518245570348, -113.3062316852849 37.25521815641546, -113.30617062505091 37.25156359735777, -113.30609599705741 37.24790722788539, -113.30150826533726 37.24785612504843, -113.29693215144397 37.2478051592588))"
22,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,160.0,164.1,subsurface,Washington,SL,41S,13W,3,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-113.29693215144397 37.2478051592588, -113.29695956623395 37.25148435665862, -113.29698679215454 37.25514580193807, -113.3015986551607 37.25518245570348, -113.3062316852849 37.25521815641546, -113.30617062505091 37.25156359735777, -113.30609599705741 37.24790722788539, -113.30150826533726 37.24785612504843, -113.29693215144397 37.2478051592588))"
23,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,41.04,41.19,subsurface,Sanpete,SL,20S,1W,14,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.8816670100624 39.061680557384356, -111.88169150210607 39.06534975693512, -111.88642418669458 39.06521511676206, -111.88640467804589 39.06155732523527, -111.8816670100624 39.061680557384356))"
24,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,41.04,41.19,subsurface,Sanpete,SL,20S,1W,14,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.8816670100624 39.061680557384356, -111.88169150210607 39.06534975693512, -111.88642418669458 39.06521511676206, -111.88640467804589 39.06155732523527, -111.8816670100624 39.061680557384356))"
25,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,41.04,41.19,subsurface,Sanpete,SL,20S,1W,14,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.8816670100624 39.061680557384356, -111.88169150210607 39.06534975693512, -111.88642418669458 39.06521511676206, -111.88640467804589 39.06155732523527, -111.8816670100624 39.061680557384356))"
26,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,80.0,79.79,subsurface,Kane,SL,39S,9W,5,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.86444179374685 37.44574231183836, -112.86898342732158 37.445770324727434, -112.87352505459471 37.445798072801416, -112.87352222627054 37.44219528650821, -112.86897524968617 37.44215274985847, -112.86442827752164 37.442110308298034, -112.86444179374685 37.44574231183836))"
27,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,80.0,79.79,subsurface,Kane,SL,39S,9W,5,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.86444179374685 37.44574231183836, -112.86898342732158 37.445770324727434, -112.87352505459471 37.445798072801416, -112.87352222627054 37.44219528650821, -112.86897524968617 37.44215274985847, -112.86442827752164 37.442110308298034, -112.86444179374685 37.44574231183836))"
28,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,80.0,79.79,subsurface,Kane,SL,39S,9W,5,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.86444179374685 37.44574231183836, -112.86898342732158 37.445770324727434, -112.87352505459471 37.445798072801416, -112.87352222627054 37.44219528650821, -112.86897524968617 37.44215274985847, -112.86442827752164 37.442110308298034, -112.86444179374685 37.44574231183836))"
29,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.0,40.83,subsurface,Beaver,SL,28S,7W,7,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.68522934377759 38.39602767236312, -112.68987785891254 38.39605877468179, -112.68986965477085 38.392391617971086, -112.68523054771151 38.39235614263898, -112.68522934377759 38.39602767236312))"
30,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.0,40.83,subsurface,Beaver,SL,28S,7W,7,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.68522934377759 38.39602767236312, -112.68987785891254 38.39605877468179, -112.68986965477085 38.392391617971086, -112.68523054771151 38.39235614263898, -112.68522934377759 38.39602767236312))"
31,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.0,40.83,subsurface,Beaver,SL,28S,7W,7,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.68522934377759 38.39602767236312, -112.68987785891254 38.39605877468179, -112.68986965477085 38.392391617971086, -112.68523054771151 38.39235614263898, -112.68522934377759 38.39602767236312))"
32,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.0,40.63,subsurface,Sevier,SL,25S,3W,30,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.17103483562 38.59236591564816, -112.17567496235162 38.59234543306973, -112.17564824332278 38.58867970629926, -112.17100613119389 38.588704802235746, -112.17103483562 38.59236591564816))"
33,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.0,40.63,subsurface,Sevier,SL,25S,3W,30,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.17103483562 38.59236591564816, -112.17567496235162 38.59234543306973, -112.17564824332278 38.58867970629926, -112.17100613119389 38.588704802235746, -112.17103483562 38.59236591564816))"
34,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.0,40.63,subsurface,Sevier,SL,25S,3W,30,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.17103483562 38.59236591564816, -112.17567496235162 38.59234543306973, -112.17564824332278 38.58867970629926, -112.17100613119389 38.588704802235746, -112.17103483562 38.59236591564816))"
35,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.0,40.63,subsurface,Sevier,SL,25S,3W,30,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.17103483562 38.59236591564816, -112.17567496235162 38.59234543306973, -112.17564824332278 38.58867970629926, -112.17100613119389 38.588704802235746, -112.17103483562 38.59236591564816))"
36,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,200.0,215.58,subsurface,Iron,SL,35S,9W,22,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"MULTIPOLYGON (((-112.85201961373656 37.743461899124654, -112.8567878502192 37.743442912506175, -112.85675132926411 37.7397059898358, -112.86149548658905 37.73968692415174, -112.86144432591125 37.735949964201595, -112.85671493553089 37.73596915310526, -112.85198542583085 37.735988334155586, -112.85200251500184 37.73972511778935, -112.85201961373656 37.743461899124654)), ((-112.84728507593692 37.75102122300858, -112.85207313279888 37.75098543911397, -112.85686107021442 37.750949732748914, -112.85682445439947 37.747196323817185, -112.85204631345805 37.747223761275855, -112.84726827212336 37.74725091313711, -112.84728507593692 37.75102122300858)))"
37,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,200.0,215.58,subsurface,Iron,SL,35S,9W,22,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"MULTIPOLYGON (((-112.85201961373656 37.743461899124654, -112.8567878502192 37.743442912506175, -112.85675132926411 37.7397059898358, -112.86149548658905 37.73968692415174, -112.86144432591125 37.735949964201595, -112.85671493553089 37.73596915310526, -112.85198542583085 37.735988334155586, -112.85200251500184 37.73972511778935, -112.85201961373656 37.743461899124654)), ((-112.84728507593692 37.75102122300858, -112.85207313279888 37.75098543911397, -112.85686107021442 37.750949732748914, -112.85682445439947 37.747196323817185, -112.85204631345805 37.747223761275855, -112.84726827212336 37.74725091313711, -112.84728507593692 37.75102122300858)))"
38,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,200.0,215.58,subsurface,Iron,SL,35S,9W,22,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"MULTIPOLYGON (((-112.85201961373656 37.743461899124654, -112.8567878502192 37.743442912506175, -112.85675132926411 37.7397059898358, -112.86149548658905 37.73968692415174, -112.86144432591125 37.735949964201595, -112.85671493553089 37.73596915310526, -112.85198542583085 37.735988334155586, -112.85200251500184 37.73972511778935, -112.85201961373656 37.743461899124654)), ((-112.84728507593692 37.75102122300858, -112.85207313279888 37.75098543911397, -112.85686107021442 37.750949732748914, -112.85682445439947 37.747196323817185, -112.85204631345805 37.747223761275855, -112.84726827212336 37.74725091313711, -112.84728507593692 37.75102122300858)))"
39,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.0,40.22,subsurface,Daggett,SL,3N,20E,20,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-109.6989412253573 40.97404313892394, -109.6989830785011 40.97767750765445, -109.7037646739872 40.977592655654014, -109.70372481278065 40.97394632945634, -109.6989412253573 40.97404313892394))"
40,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.0,40.22,subsurface,Daggett,SL,3N,20E,20,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-109.6989412253573 40.97404313892394, -109.6989830785011 40.97767750765445, -109.7037646739872 40.977592655654014, -109.70372481278065 40.97394632945634, -109.6989412253573 40.97404313892394))"
41,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.0,40.22,subsurface,Daggett,SL,3N,20E,20,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-109.6989412253573 40.97404313892394, -109.6989830785011 40.97767750765445, -109.7037646739872 40.977592655654014, -109.70372481278065 40.97394632945634, -109.6989412253573 40.97404313892394))"
42,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,40.0,40.22,subsurface,Daggett,SL,3N,20E,20,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-109.6989412253573 40.97404313892394, -109.6989830785011 40.97767750765445, -109.7037646739872 40.977592655654014, -109.70372481278065 40.97394632945634, -109.6989412253573 40.97404313892394))"
43,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,320.0,332.89,subsurface,Iron,SL,35S,9W,33,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.865804864043 37.713593419174785, -112.8658358050504 37.71732764374236, -112.86586675931842 37.721061956059344, -112.87046666492581 37.721066003718214, -112.87506668367236 37.72107014021991, -112.87966658647125 37.72107427908241, -112.8842666001335 37.72107841669164, -112.88426852505773 37.71734395399928, -112.88427057115649 37.71360948725605, -112.87964005977295 37.713605741059006, -112.87500965455031 37.713601811063135, -112.870407262829 37.71359770501451, -112.865804864043 37.713593419174785))"
44,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,320.0,332.89,subsurface,Iron,SL,35S,9W,33,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.865804864043 37.713593419174785, -112.8658358050504 37.71732764374236, -112.86586675931842 37.721061956059344, -112.87046666492581 37.721066003718214, -112.87506668367236 37.72107014021991, -112.87966658647125 37.72107427908241, -112.8842666001335 37.72107841669164, -112.88426852505773 37.71734395399928, -112.88427057115649 37.71360948725605, -112.87964005977295 37.713605741059006, -112.87500965455031 37.713601811063135, -112.870407262829 37.71359770501451, -112.865804864043 37.713593419174785))"
45,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,320.0,332.89,subsurface,Iron,SL,35S,9W,33,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.865804864043 37.713593419174785, -112.8658358050504 37.71732764374236, -112.86586675931842 37.721061956059344, -112.87046666492581 37.721066003718214, -112.87506668367236 37.72107014021991, -112.87966658647125 37.72107427908241, -112.8842666001335 37.72107841669164, -112.88426852505773 37.71734395399928, -112.88427057115649 37.71360948725605, -112.87964005977295 37.713605741059006, -112.87500965455031 37.713601811063135, -112.870407262829 37.71359770501451, -112.865804864043 37.713593419174785))"
46,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,120.0,116.25,subsurface,Rich,SL,14N,6E,1,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.21054489324918 41.990249215843534, -111.2152714490392 41.990292598649646, -111.21999789000331 41.990335877133234, -111.22472445852145 41.990379321034155, -111.22474123385847 41.986773644265675, -111.22000154936052 41.98673526978252, -111.21526186943167 41.98669660953476, -111.21052219532585 41.986658023788124, -111.21054489324918 41.990249215843534))"
47,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,120.0,116.25,subsurface,Rich,SL,14N,6E,1,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.21054489324918 41.990249215843534, -111.2152714490392 41.990292598649646, -111.21999789000331 41.990335877133234, -111.22472445852145 41.990379321034155, -111.22474123385847 41.986773644265675, -111.22000154936052 41.98673526978252, -111.21526186943167 41.98669660953476, -111.21052219532585 41.986658023788124, -111.21054489324918 41.990249215843534))"
48,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,120.0,116.25,subsurface,Rich,SL,14N,6E,1,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.21054489324918 41.990249215843534, -111.2152714490392 41.990292598649646, -111.21999789000331 41.990335877133234, -111.22472445852145 41.990379321034155, -111.22474123385847 41.986773644265675, -111.22000154936052 41.98673526978252, -111.21526186943167 41.98669660953476, -111.21052219532585 41.986658023788124, -111.21054489324918 41.990249215843534))"
49,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,120.0,116.25,subsurface,Rich,SL,14N,6E,1,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-111.21054489324918 41.990249215843534, -111.2152714490392 41.990292598649646, -111.21999789000331 41.990335877133234, -111.22472445852145 41.990379321034155, -111.22474123385847 41.986773644265675, -111.22000154936052 41.98673526978252, -111.21526186943167 41.98669660953476, -111.21052219532585 41.986658023788124, -111.21054489324918 41.990249215843534))"
50,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,160.0,161.08,subsurface,Box Elder,SL,10N,5W,9,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.41217104043446 41.6184175716233, -112.4124486810065 41.62203161692131, -112.41724171021701 41.62188479813006, -112.42203459012732 41.621737691212125, -112.42682732464155 41.621590476275955, -112.43162027174387 41.621443058810925, -112.43137016889095 41.617733066506865, -112.42657058175958 41.617904423496675, -112.42177072758788 41.6180757634893, -112.41697095848237 41.6182467218334, -112.41217104043446 41.6184175716233))"
51,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,160.0,161.08,subsurface,Box Elder,SL,10N,5W,9,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.41217104043446 41.6184175716233, -112.4124486810065 41.62203161692131, -112.41724171021701 41.62188479813006, -112.42203459012732 41.621737691212125, -112.42682732464155 41.621590476275955, -112.43162027174387 41.621443058810925, -112.43137016889095 41.617733066506865, -112.42657058175958 41.617904423496675, -112.42177072758788 41.6180757634893, -112.41697095848237 41.6182467218334, -112.41217104043446 41.6184175716233))"
52,UT,28 Stat. 107-110 (1894),Normal School,Trust Lands Administration,Utah State University,160.0,161.08,subsurface,Box Elder,SL,10N,5W,9,https://gis.trustlands.utah.gov/server/rest/services/Ownership/UT_SITLA_Ownership_Beneficiary/MapServer/0,"POLYGON ((-112.41217104043446 41.6184175716233, -112.4124486810065 41.62203161692131, -112.41724171021701 41.62188479813006, -112.42203459012732 41.621737691212125, -112.42682732464155 41.621590476275955, -112.43162027174387 41.621443058810925, -112.43137016889095 41.617733066506865, -112.42657058175958 41.617904423496675, -112.42177072758788 41.6180757634893, -112.41697095848237 41.6182467218334, -112.41217104043446 41.6184175716233))"
