,state,state_enabling_act,trust_name,managing_agency,university,gis_acres,rights_type,activity,data_source,geometry
16,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,327.77,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-121.98814855366386 48.297480880019265, -121.98872782864619 48.29748304042417, -121.98856238560829 48.29007983055626, -121.9669205795289 48.290008503693585, -121.96695544468774 48.293507702670176, -121.9669945472617 48.29743204478674, -121.98814855366386 48.297480880019265))"
17,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,39.7,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-118.00353750259863 48.37976803886969, -118.00377236984558 48.38337090182747, -118.00914236710005 48.3833866498807, -118.00897600419025 48.37977037545598, -118.00353750259863 48.37976803886969))"
18,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,162.25,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-119.53890690921786 48.004793918681806, -119.5388872389993 48.01206261398528, -119.54978649705562 48.01201519852374, -119.54976612013569 48.00473489733689, -119.54434369056258 48.00476424913998, -119.53890690921786 48.004793918681806))"
19,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,37.91,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-118.04345901315719 48.40556471715487, -118.04322169922968 48.409051562598535, -118.04860267748072 48.40901909340015, -118.04876562194498 48.40552933458767, -118.04345901315719 48.40556471715487))"
20,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,2.39,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-120.8565777749132 46.82395530370374, -120.85789185557452 46.82396468478968, -120.8578858014211 46.8230856802622, -120.85659375169486 46.82308698240549, -120.8566814109358 46.82312611642302, -120.85657349990765 46.82324554701131, -120.8565777749132 46.82395530370374))"
21,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,319.28,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-119.44863582040193 47.829993973918626, -119.44855921196806 47.83725021938291, -119.47013790991947 47.83714148050982, -119.4701525017649 47.82999026313734, -119.44863582040193 47.829993973918626))"
22,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,635.8,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-119.51725168423823 47.97567403503575, -119.5174346804755 47.990113620347735, -119.53887092901769 47.99014017813892, -119.5387675749889 47.97571127599125, -119.51725168423823 47.97567403503575))"
23,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,649.49,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-119.56034355039682 47.968340471882115, -119.56045772222154 47.97570482915215, -119.58201983419062 47.97566254206371, -119.58204287148396 47.96103452108657, -119.57779279519046 47.96102418989082, -119.56023197537955 47.96117654473816, -119.56034355039682 47.968340471882115))"
24,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,241.13,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-119.47580162779198 47.815497536753504, -119.47568814345972 47.82275106330232, -119.48115017417638 47.822768254076976, -119.48102105051717 47.8300233411517, -119.48630881007276 47.830039097511325, -119.4866774089937 47.815531193459194, -119.47580162779198 47.815497536753504))"
25,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,39.62,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.78835038051147 47.828348443357974, -117.78305686117652 47.82828477663042, -117.7830015439012 47.83199212482541, -117.78821407377389 47.83197407459711, -117.78835038051147 47.828348443357974))"
26,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,289.44,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-119.53905628485269 46.04702182833831, -119.5390343085997 46.0506953411165, -119.56021156036412 46.05074814634589, -119.56016749841542 46.04337311803208, -119.54962285740551 46.04336227694499, -119.5443495730506 46.04335652127767, -119.54433969760792 46.04703159061765, -119.53905628485269 46.04702182833831))"
27,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,161.17,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-118.14636152345855 48.13959193109616, -118.1463331033006 48.14322695157171, -118.14632216694751 48.1468734683234, -118.14090082320229 48.1469252635799, -118.14089630766252 48.15061475016817, -118.15172613115521 48.15042495102357, -118.1517608665298 48.143217887850824, -118.15181320995373 48.13962966174191, -118.14636152345855 48.13959193109616))"
28,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,79.0,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-118.10649901608421 48.21434991281414, -118.10573880039274 48.22146814932938, -118.10621056394648 48.22146881076497, -118.11110737196951 48.22153302516722, -118.11197325734318 48.21438904032692, -118.10649901608421 48.21434991281414))"
29,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,74.63,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-118.14042703438865 48.200704498952184, -118.14036027997075 48.20409561857213, -118.15108122769172 48.204206794152974, -118.15114716051716 48.20078209910863, -118.14042703438865 48.200704498952184))"
30,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,39.75,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-118.12292321587942 48.21446654090771, -118.12239043328547 48.21802086280844, -118.12781080254763 48.21808687111773, -118.12839893702983 48.21450491666135, -118.12292321587942 48.21446654090771))"
31,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,544.08,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-124.41475072395704 48.264214293397686, -124.43313867825871 48.26390596086039, -124.4331588138708 48.25000546061522, -124.41452451584291 48.24930083575101, -124.41475072395704 48.264214293397686))"
32,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,79.09,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.92293519906337 48.405578386302025, -117.92304180234471 48.40914139730418, -117.93387315537532 48.409170710469894, -117.93377183598233 48.405557015188805, -117.92293519906337 48.405578386302025))"
33,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,122.84,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.64829365206835 47.90313803288092, -117.64832182237375 47.91041564615717, -117.64834139977617 47.914054700863815, -117.65386352871992 47.91397336576261, -117.6538528362225 47.91217993858225, -117.65384864267176 47.911283527886255, -117.65384424541816 47.91038711451689, -117.65383889502431 47.90949067754217, -117.65383417969628 47.908595102965656, -117.6538297884086 47.90769797799745, -117.65382450788603 47.90680161535202, -117.65382010255813 47.90590490871454, -117.65381494067276 47.905008772897745, -117.65380491435607 47.90321598323744, -117.64829365206835 47.90313803288092))"
34,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,160.23,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.45433464362148 47.88908093651479, -117.45455265038478 47.896182880026906, -117.4653774893482 47.896141256282704, -117.46539955436378 47.888993477134406, -117.45433464362148 47.88908093651479))"
35,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,163.1,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-123.42230827069369 46.57762802444716, -123.42740629294268 46.57763272653626, -123.42745000839332 46.57027843064289, -123.41694184787613 46.57017239163752, -123.41698066188401 46.573936728908, -123.41700521563376 46.57765768759972, -123.42230827069369 46.57762802444716))"
36,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,653.83,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-122.49033907111276 46.29587207072155, -122.49024227368587 46.29954375996547, -122.50041074453526 46.29970670875461, -122.5108741500482 46.29990048816402, -122.51151654337676 46.292135286542006, -122.51154569274104 46.284889891791615, -122.49068964559756 46.28498848964777, -122.49033907111276 46.29587207072155))"
37,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,32.84,subsurface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-121.9477483631217 48.206285172567405, -121.95217860950002 48.20635984499461, -121.95219270568428 48.202742513168545, -121.94773254740738 48.20266785558281, -121.9477483631217 48.206285172567405))"
38,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,81.36,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.88984121710408 48.71414967300296, -117.89002363259478 48.72155723905501, -117.89544361463795 48.721516148440394, -117.89528901398634 48.714116752307106, -117.88984121710408 48.71414967300296))"
39,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,276.2,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-118.11769930447085 48.30461222780623, -118.11773366187579 48.30775526638782, -118.12316920874797 48.307781053869434, -118.1230858301044 48.30098677440642, -118.12871881193439 48.30117528925471, -118.12870269084405 48.297430837743775, -118.11762689980812 48.29736444126316, -118.11756230523041 48.29384514776893, -118.1066707421685 48.293718371542475, -118.1068139280415 48.297345478329596, -118.11206946705452 48.29733111954704, -118.11227833045486 48.300967093186806, -118.11766538646084 48.30096061262014, -118.11769930447085 48.30461222780623))"
40,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,155.14,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.74101233514844 48.35914134927386, -117.72991734401714 48.358896536751224, -117.72982572603048 48.36605999978167, -117.74048658758673 48.36598208472633, -117.74101233514844 48.35914134927386))"
41,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,39.36,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-119.7543566722568 47.88816425802137, -119.75444737566697 47.89171438730138, -119.75983317497364 47.89171284341713, -119.7598372069654 47.888210928825565, -119.7543566722568 47.88816425802137))"
42,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,40.5,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-118.0532155045467 48.45263052635584, -118.05311444152923 48.45625435947473, -118.05862368923658 48.456269897636005, -118.05871169875262 48.45265265165263, -118.0532155045467 48.45263052635584))"
43,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,650.53,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.97073592774967 48.03310290093343, -117.97101899710648 48.01927836463634, -117.94833979956965 48.01870525387705, -117.94804925133714 48.025682104467705, -117.94777395101863 48.03263871916749, -117.9591754724374 48.03290719222576, -117.97073592774967 48.03310290093343))"
44,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,241.88,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-122.03152496817904 48.31910247661345, -122.03702117989391 48.31913941051521, -122.04251739913876 48.31917608350229, -122.05348644153275 48.31924848027097, -122.05346073515207 48.312068091960086, -122.047973898234 48.312018209795475, -122.04798790448733 48.315615317468485, -122.03701071737976 48.31552856030194, -122.03700025590149 48.31191768714419, -122.03151345043254 48.311867041179745, -122.03152496817904 48.31910247661345))"
45,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,115.25,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-118.26013244798477 47.91891142346953, -118.26011553117512 47.92621354175992, -118.26993440416895 47.92620302375564, -118.26901389059928 47.924912169043225, -118.26795633694364 47.923429059564754, -118.26689884641542 47.921945942082985, -118.26584141504907 47.9204628137825, -118.26932876137214 47.91893425455388, -118.26013244798477 47.91891142346953))"
46,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,40.29,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-117.97669998962365 48.01931568190357, -117.9766125215429 48.0158480685257, -117.97094266402854 48.01581762799234, -117.97101899710648 48.01927836463634, -117.97669998962365 48.01931568190357))"
47,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,36.67,subsurface,,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-118.06514538057644 48.40176998211302, -118.06508904278391 48.40538518682622, -118.07010316441891 48.40534316128811, -118.07014958020194 48.40176054237735, -118.06514538057644 48.40176998211302))"
48,WA,"25 Stat. 676-684, esp. 679-81 (1889)",Agricultural School,Department of Natural Resources,Washington State University,73.39,subsurface+surface+surface,timber,https://gis.dnr.wa.gov/site3/rest/services/Public_Boundaries/WADNR_PUBLIC_Cadastre_OpenData/MapServer/6/,"POLYGON ((-118.09022403640695 48.294010663599366, -118.09026017003777 48.29730323637378, -118.10114215834786 48.29716131750217, -118.10103368123835 48.293818633355855, -118.09561446774183 48.293914807994796, -118.09022403640695 48.294010663599366))"
