,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,data_source,geometry
10,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,640.0,640.61,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-115.7570692339115 43.13030473283953, -115.7570774532522 43.133903513714266, -115.75708567311557 43.13750229341952, -115.75709386405445 43.14110107420854, -115.762046047681 43.141126225099526, -115.76699820062078 43.14115118171898, -115.77195032914028 43.14117633297067, -115.77690248350154 43.14120128997808, -115.77693173496473 43.137588007781716, -115.77696098884495 43.13397472527787, -115.77699024108709 43.130361472244694, -115.77701952194711 43.12674818968241, -115.77202931183126 43.126737734057905, -115.76703912812029 43.1267270574703, -115.76205005675429 43.12671660063044, -115.75706101311764 43.12670592471228, -115.7570692339115 43.13030473283953))"
11,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,40.0,39.87,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-115.73198483364504 43.09058526286837, -115.73695268386254 43.09061466756329, -115.7369395760002 43.08702549861856, -115.73197264067466 43.08699231489114, -115.73198483364504 43.09058526286837))"
12,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,640.0,642.11,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-115.71679837815641 43.04380430882335, -115.71680206963526 43.04739358933196, -115.71682565165943 43.050977398795474, -115.7168492333293 43.05456120710249, -115.72180211521007 43.054627307777125, -115.72675502571907 43.05469338073634, -115.73170915828531 43.05475950966464, -115.7366633182213 43.05482560988262, -115.73666137596544 43.051179884935316, -115.73665945898968 43.04753418810188, -115.73665751780452 43.04388846250332, -115.73665560192235 43.04024276591885, -115.7316903589303 43.040235831160466, -115.72672514441174 43.04022889735923, -115.72175990056903 43.04022196088749, -115.71679468525544 43.04021502717795, -115.71679837815641 43.04380430882335))"
13,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,157.56,158.37,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-116.57454494015181 43.451193647052236, -116.5745876294921 43.45203851193547, -116.5782477507102 43.45206578708265, -116.58323475211814 43.452095158409016, -116.58325155007617 43.44846670514483, -116.58325287764352 43.4481046059072, -116.583253426763 43.44795478701503, -116.58326338921776 43.445237798527124, -116.58326456306258 43.44491769219238, -116.58326485357101 43.44483861175585, -116.5782748070272 43.44481407370737, -116.57328502409187 43.44478624117056, -116.57327492620342 43.448407742196274, -116.57326409461346 43.451227423242166, -116.57454494015181 43.451193647052236))"
14,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,120.37,121.1,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-116.59717029744736 43.43372892761193, -116.59619448343499 43.433876922683574, -116.59619692311011 43.43395246750448, -116.59409625518035 43.436128465591665, -116.59323341833539 43.43618197171622, -116.59323920254302 43.43760242939727, -116.59821454499443 43.437566948684896, -116.603190569851 43.437583078950055, -116.60318209388029 43.433950124200635, -116.60316774527129 43.43031795416362, -116.59817629877658 43.430310295227116, -116.59683281058251 43.4303186969644, -116.59717029744736 43.43372892761193))"
15,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,155.47,156.93,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-116.50871629126522 43.43735283163802, -116.50374445342447 43.437364954468464, -116.50372931930671 43.44099427347446, -116.50371418596859 43.44462362030655, -116.5086875798652 43.44461377622829, -116.51348534892699 43.444620549262524, -116.51349377873268 43.441052642392656, -116.51350821872278 43.43748378217509, -116.50871629126522 43.43735283163802))"
16,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,20.0,20.06,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-116.50749198015299 43.397389080208704, -116.50749869464302 43.40102164820028, -116.50874042371979 43.4010196110971, -116.50873361238204 43.39738712563446, -116.50872682711083 43.393754527874904, -116.50748529253218 43.39375641971119, -116.50749198015299 43.397389080208704))"
17,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,280.0,281.51,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-116.5134133849572 43.45188768486768, -116.51485651960525 43.45189843620637, -116.51840882732535 43.45192482422279, -116.52340405024701 43.45193755447445, -116.52839804902474 43.45193903817338, -116.52841412590772 43.448311061338714, -116.53340494471331 43.44830640585888, -116.53342155869332 43.44467747621523, -116.52843650110238 43.44468308645676, -116.52345205169505 43.444686817793574, -116.51846817151174 43.444680992634694, -116.51523620705954 43.44464181258176, -116.51348534892699 43.444620549262524, -116.51343892835985 43.448254868911256, -116.5134133849572 43.45188768486768))"
18,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,81.53,81.77,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-116.53338224300755 43.4555580701467, -116.53336895306991 43.4593221714161, -116.53835138427749 43.459334766173384, -116.53836499090018 43.45557627020946, -116.53837617991985 43.4519513545113, -116.53339168603374 43.45193507558192, -116.53338224300755 43.4555580701467))"
19,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,42.44,40.26,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-116.58825525903376 43.44485718437373, -116.58824238617096 43.448152328879374, -116.5882413153572 43.448426541778325, -116.58824107935816 43.44848675782256, -116.59323086133314 43.44849827330604, -116.59324603083307 43.4448680337911, -116.58825525903376 43.44485718437373))"
20,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,,26.26,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-116.53844135347104 43.40473595608164, -116.54146517572659 43.404738610093524, -116.5419243691135 43.401107576927025, -116.53844692017509 43.40110271696774, -116.53844135347104 43.40473595608164))"
21,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,,10.86,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-116.5418429328442 43.404738936617385, -116.54341895518635 43.404740282969954, -116.54341484328945 43.40110962783957, -116.54230185367312 43.40110809803757, -116.5418429328442 43.404738936617385))"
22,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,40.0,40.16,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-116.52357132252361 43.393811980352716, -116.52854020510775 43.393813704370004, -116.52855560666552 43.390180363424996, -116.52358590799666 43.3901783745797, -116.52357132252361 43.393811980352716))"
23,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,320.0,280.82,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-116.55339400332012 43.3938632916458, -116.55341659595815 43.39023364169154, -116.548444873021 43.39022850819393, -116.54347175271116 43.39022391762606, -116.53966049369906 43.39021910379111, -116.53927168207814 43.390218605727064, -116.53849860113635 43.390217610983306, -116.5384807455867 43.393846025174824, -116.540569214484 43.393848536884086, -116.54095903445999 43.39384900084354, -116.54345183214723 43.393851940159344, -116.54343333812687 43.39748069802958, -116.54341484328945 43.40110962783957, -116.54838259550992 43.4011151422419, -116.55334975639406 43.40112257493816, -116.5533717762079 43.397492937884316, -116.55339400332012 43.3938632916458))"
24,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,560.0,564.58,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-116.65806256425836 43.415659199456414, -116.65306915859667 43.41565536709602, -116.65312043517221 43.41929530304922, -116.65313274991287 43.42293535026569, -116.65312646128392 43.42657534675364, -116.65310706407068 43.43021532971879, -116.65809508785958 43.43021100415677, -116.66308301338988 43.43021636347303, -116.6680726473856 43.430205142635465, -116.67306230245364 43.43023449869867, -116.6730468391253 43.42658869702355, -116.67304845991717 43.42294350232969, -116.6680694038055 43.42292536295503, -116.66309030871645 43.42293591864074, -116.66308469379963 43.41929561806616, -116.66806758143149 43.41928428519985, -116.67305083024901 43.41929890144101, -116.67303557221284 43.41565495147432, -116.66804563782632 43.41564263274451, -116.66305520384753 43.415655685655004, -116.65806256425836 43.415659199456414))"
25,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,240.0,244.94,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-115.89520008723098 43.44348208997081, -115.89023577927136 43.443468752, -115.89022193517468 43.44708597503107, -115.88525165617857 43.44708138520354, -115.88523181102217 43.45070757958031, -115.8802287828516 43.4507117397037, -115.88022960757526 43.4544641291215, -115.88521121959606 43.45447091399089, -115.89017936048963 43.45447792044159, -115.89514761067264 43.45448473419503, -115.89518439688985 43.45069867716103, -115.8951922141765 43.44709036838825, -115.89520008723098 43.44348208997081))"
26,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,,81.45,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-115.81722458584991 42.88568421334616, -115.81721602645037 42.887735490148685, -115.8172015282325 42.89140836992892, -115.81718702966498 42.895081249390145, -115.82219851727059 42.89510228149215, -115.82220726506195 42.89142929112243, -115.82221123367297 42.889762812284545, -115.82209816013906 42.88967312250421, -115.82143269222972 42.88922219206506, -115.82010995042673 42.88826554179853, -115.81952657106508 42.88774508319264, -115.81722458584991 42.88568421334616))"
27,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,40.0,40.11,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-115.67742882222119 43.07212427841879, -115.68238017270765 43.072142129938264, -115.68236675562709 43.06851840410704, -115.6774164323437 43.06850188611083, -115.67742882222119 43.07212427841879))"
28,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,80.0,80.85,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.65735894002587 42.48123968905132, -113.65741192108446 42.484927042808685, -113.65746492869779 42.488614423070814, -113.66232352623496 42.48858868541327, -113.66227043394524 42.48490336030895, -113.66221733963658 42.48121795085382, -113.65735894002587 42.48123968905132))"
29,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,229.6,228.97,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.60416090831292 42.844291032036985, -113.5992433558579 42.84428694301183, -113.59432763649959 42.84428263306524, -113.58941191812139 42.84427812828237, -113.58941643200545 42.847895880985554, -113.58941728344868 42.84945956383138, -113.59353977292167 42.84946067911715, -113.59433919738775 42.849462291313124, -113.59845487902618 42.84947207303612, -113.599254302581 42.8494736851309, -113.60336998594272 42.849483466683616, -113.60416941011731 42.84948560549338, -113.60829123206244 42.84949805453228, -113.60908451658753 42.84950016503538, -113.60908322123417 42.84791442652472, -113.60908083870659 42.84611308754034, -113.60907843244735 42.84429489895274, -113.60416090831292 42.844291032036985))"
30,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,40.0,40.07,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-111.35863507686337 43.96945096547706, -111.35361330184638 43.969437191374276, -111.35356854429605 43.97305865601656, -111.3585920685752 43.97307201212215, -111.35863507686337 43.96945096547706))"
31,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,6.34,6.13,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.79353928137894 42.45188924297879, -113.79728015157599 42.45290284201648, -113.79846277646975 42.45287875347996, -113.79843643066074 42.45260780367078, -113.79835931798964 42.45258746589569, -113.79355489605825 42.45131274880053, -113.79353928137894 42.45188924297879))"
32,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,320.0,324.37,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.9019587638351 42.467770880667054, -113.90688985873933 42.46777153607819, -113.91182098331569 42.46777196856325, -113.9118147126984 42.4641277037751, -113.9118084692074 42.46048343938429, -113.90687596212271 42.46048539640431, -113.9019434536187 42.460487326686774, -113.89701094726671 42.460489283369704, -113.89207843946141 42.46049123943206, -113.89208747799921 42.46413011367502, -113.89209651958154 42.46776898650304, -113.89702764144268 42.4677700293001, -113.9019587638351 42.467770880667054))"
33,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,480.61,488.67,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.92662782422036 42.47506527099268, -113.93172132152854 42.47506631743542, -113.93171916957975 42.47471143068258, -113.93170503879216 42.47138655181216, -113.93170325270981 42.47109141396214, -113.93168900826313 42.46770678576746, -113.92660129526143 42.46772379495375, -113.92167492297199 42.46774005646038, -113.92166461987327 42.464097124933154, -113.921654289677 42.460454192864404, -113.91673136474843 42.460468816010746, -113.9118084692074 42.46048343938429, -113.9118147126984 42.4641277037751, -113.91182098331569 42.46777196856325, -113.91182722632325 42.471416232806085, -113.91183349649951 42.47506046952796, -113.91676459650984 42.47506237440429, -113.91823584760333 42.475062966009716, -113.91823157862423 42.47489854099469, -113.9199930275717 42.47421259189374, -113.91999134008732 42.47506364654297, -113.92169566767447 42.475064281455154, -113.92662782422036 42.47506527099268))"
34,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,480.0,486.76,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.91181125569473 42.456838841893216, -113.91181406821556 42.45319427271691, -113.90688009263039 42.45319939807229, -113.90194614584013 42.453204299363975, -113.90194746319011 42.4495623701733, -113.90194880800284 42.445920411666364, -113.89701336406652 42.44592806692061, -113.89207794935602 42.44593574655664, -113.89207807130134 42.449574619874404, -113.89207819403853 42.45321349357694, -113.89207831635315 42.45685236676244, -113.89207843946141 42.46049123943206, -113.89701094726671 42.460489283369704, -113.9019434536187 42.460487326686774, -113.90687596212271 42.46048539640431, -113.9118084692074 42.46048343938429, -113.91181125569473 42.456838841893216))"
35,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,635.42,643.28,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.91184983186736 42.42039542480556, -113.91182904494923 42.42403938327352, -113.9118082869127 42.427683312417194, -113.91178750053945 42.43132727253281, -113.91670682269596 42.431301644431954, -113.92162614576263 42.43127601686493, -113.92654466235568 42.431251555589846, -113.93164902013368 42.4312261530818, -113.93164862793274 42.43112837482937, -113.93164257415008 42.42759252619698, -113.93164226606498 42.427514692607765, -113.93163621126386 42.42395892676984, -113.9316359873464 42.423900980230755, -113.93162993395316 42.4203252980641, -113.93162981956763 42.420296327476564, -113.93162379197227 42.41669169864852, -113.92669997834201 42.416706745443115, -113.92174683021568 42.41672187414259, -113.92172703547827 42.419111490833956, -113.92026333212287 42.41911280200281, -113.92026515961963 42.41672633598774, -113.91680873701254 42.41673667007114, -113.91187061841246 42.41675149372871, -113.91184983186736 42.42039542480556))"
36,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,320.0,324.58,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.91178750053945 42.43132727253281, -113.9118082869127 42.427683312417194, -113.91182904494923 42.42403938327352, -113.91184983186736 42.42039542480556, -113.91187061841246 42.41675149372871, -113.90693133043742 42.416770623839525, -113.90199204560247 42.41678975277907, -113.90197980978022 42.42043112614926, -113.90196760253262 42.42407249992328, -113.90195536859183 42.4277134588775, -113.90194310487905 42.4313544154843, -113.90686528915066 42.431340844304586, -113.91178750053945 42.43132727253281))"
37,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,320.0,323.28,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.89207819403853 42.45321349357694, -113.88715916440138 42.45320981205579, -113.88224013339762 42.45320590953081, -113.87732110224759 42.45320181212025, -113.87240207221834 42.4531975189249, -113.872418408295 42.45684177930233, -113.87243474452836 42.46048604095602, -113.87734566785208 42.4604873333199, -113.88225659262264 42.46048865393714, -113.88716751529485 42.46048994696735, -113.89207843946141 42.46049123943206, -113.89207831635315 42.45685236676244, -113.89207819403853 42.45321349357694))"
38,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,240.0,242.57,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.89209352680508 42.435020099451805, -113.89209873867358 42.431381559609065, -113.88717652535631 42.431382131479985, -113.88225431324094 42.43138270363735, -113.87733210111496 42.43138327607992, -113.8724098901444 42.43138387492623, -113.87239975359324 42.435015135825815, -113.87732321734008 42.43501659218188, -113.88224665385404 42.43501782443628, -113.88223899309949 42.43865294832397, -113.88716365607834 42.43865590429152, -113.89208834307749 42.438658638804654, -113.89209352680508 42.435020099451805))"
39,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,320.0,324.16,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.90194880800284 42.445920411666364, -113.90194740321964 42.442279122132156, -113.9019459702399 42.438637830252894, -113.90194453767596 42.43499612267849, -113.90194310487905 42.4313544154843, -113.89702092097943 42.431367987852475, -113.89209873867358 42.431381559609065, -113.89209352680508 42.435020099451805, -113.89208834307749 42.438658638804654, -113.89208313155991 42.44229717941614, -113.89207794935602 42.44593574655664, -113.89701336406652 42.44592806692061, -113.90194880800284 42.445920411666364))"
40,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,645.54,653.71,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.92660896648246 42.445820202731205, -113.93168497107537 42.44579177268363, -113.93168429946753 42.44561977364816, -113.93167588628984 42.442142673129155, -113.93167529691554 42.44199239643627, -113.93166685577818 42.43849357307639, -113.9316663522724 42.43836501875594, -113.931657910223 42.434859863768324, -113.9316574617675 42.43474669612086, -113.93164902013368 42.4312261530818, -113.92654466235568 42.431251555589846, -113.92162614576263 42.43127601686493, -113.91670682269596 42.431301644431954, -113.91178750053945 42.43132727253281, -113.9117955491796 42.43497172982862, -113.91180356921137 42.438616188379314, -113.91181161777843 42.442260648228896, -113.91181494302556 42.44376603642762, -113.91181966692169 42.44590510665394, -113.91674966568333 42.44587645285525, -113.92167966247266 42.44584777254386, -113.92660896648246 42.445820202731205))"
41,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,40.0,40.43,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.79336787971894 42.467504688288265, -113.79339437659253 42.471146718120195, -113.79831363953014 42.47111570702012, -113.79829336232895 42.467481426142605, -113.79336787971894 42.467504688288265))"
42,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,40.0,40.35,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.78358041627058 42.467550294045516, -113.78361451932135 42.47120821229776, -113.78850444742706 42.47117759023213, -113.78847414816045 42.46752758753329, -113.78358041627058 42.467550294045516))"
43,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,,4.21,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.79353871582035 42.452886767150495, -113.79676435266782 42.452900633573186, -113.79728015157599 42.45290284201648, -113.79353928137894 42.45188924297879, -113.79353871582035 42.452886767150495))"
44,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,,4.21,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.79353871582035 42.452886767150495, -113.79676435266782 42.452900633573186, -113.79728015157599 42.45290284201648, -113.79353928137894 42.45188924297879, -113.79353871582035 42.452886767150495))"
45,ID,26 Stat. 215-219 (1890),100.00% Agricultural College,Department of Lands,University of Idaho,160.0,163.45,subsurface,https://gis1.idl.idaho.gov/arcgis/rest/services/State_Ownership/MapServer/1,"POLYGON ((-113.77382483810058 42.45285251245222, -113.77377590569986 42.45650531846084, -113.7786823823508 42.45654455367805, -113.7787451464887 42.45289452620815, -113.78369803241627 42.45290711640112, -113.78377903188124 42.449249459486666, -113.7838597672373 42.44559028757337, -113.77887111897371 42.44556905380781, -113.7788081330603 42.44923183172693, -113.77387388102944 42.449189791451694, -113.77382483810058 42.45285251245222))"
