,state,trust_name,managing_agency,university,acres,gis_acres,rights_type,county,section,block,data_source,geometry
34,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.37,subsurface+surface,Andrews,12,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11389100.7629 3827909.367899999, -11390962.3872 3827404.4026999995, -11391459.2867 3829253.1098000035, -11389597.6686 3829758.6965000033, -11389100.7629 3827909.367899999))"
35,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.1,subsurface+surface,Andrews,05,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11397042.7088 3827735.994900003, -11398902.6631 3827229.456699997, -11399401.3408 3829078.128399998, -11397540.5041 3829584.636699997, -11397042.7088 3827735.994900003))"
36,TX,Texas A&M,General Land Office,Texas A&M,640.0,640.16,subsurface+surface,Martin,28,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11375225.2489 3827697.7742, -11377066.631 3827200.8803000003, -11377561.8666 3829050.4826000035, -11375720.4859 3829547.460500002, -11375225.2489 3827697.7742))"
37,TX,Texas A&M,General Land Office,Texas A&M,640.0,639.94,subsurface+surface,Andrews,19,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11383083.2253 3827556.6532000005, -11384923.6985 3827058.170900002, -11385419.8169 3828907.349299997, -11383579.3473 3829405.783200003, -11383083.2253 3827556.6532000005))"
38,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.08,subsurface+surface,Andrews,11,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11390962.3872 3827404.4026999995, -11392823.232 3826898.932400003, -11393320.1286 3828747.5557999983, -11391459.2867 3829253.1098000035, -11390962.3872 3827404.4026999995))"
39,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.31,subsurface+surface,Andrews,06,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11398902.6631 3827229.456699997, -11400763.5085 3826723.0697000027, -11401262.1853 3828571.532399997, -11399401.3408 3829078.128399998, -11398902.6631 3827229.456699997))"
40,TX,Texas A&M,General Land Office,Texas A&M,267.4,268.83,subsurface+surface,Martin,27,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11377066.631 3827200.8803000003, -11378087.8715 3826924.886, -11378087.475 3828352.4377000034, -11378085.9602 3828908.708999999, -11377561.8666 3829050.4826000035, -11377066.631 3827200.8803000003))"
41,TX,Texas A&M,General Land Office,Texas A&M,372.6,371.07,subsurface+surface,Andrews,27,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11378087.8715 3826924.886, -11378907.1248 3826703.4795999974, -11379402.3582 3828552.607500002, -11378085.9602 3828908.708999999, -11378087.475 3828352.4377000034, -11378087.8715 3826924.886))"
42,TX,Texas A&M,General Land Office,Texas A&M,640.0,640.02,subsurface+surface,Andrews,20,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11384923.6985 3827058.170900002, -11386764.1706 3826559.3140999973, -11387260.2905 3828408.413400002, -11385419.8169 3828907.349299997, -11384923.6985 3827058.170900002))"
43,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.4,subsurface+surface,Andrews,10,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11392823.232 3826898.932400003, -11394684.0766 3826392.9570000023, -11395181.8642 3828242.029799998, -11393320.1286 3828747.5557999983, -11392823.232 3826898.932400003))"
44,TX,Texas A&M,General Land Office,Texas A&M,639.9,639.92,subsurface+surface,Andrews,01,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11400763.5085 3826723.0697000027, -11402602.3112 3826221.5886999965, -11403101.7678 3828070.1050999984, -11401262.1853 3828571.532399997, -11400763.5085 3826723.0697000027))"
45,TX,Texas A&M,General Land Office,Texas A&M,640.0,639.85,subsurface+surface,Andrews,26,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11378907.1248 3826703.4795999974, -11380747.5051 3826205.5725999996, -11381242.7391 3828054.6218999997, -11379402.3582 3828552.607500002, -11378907.1248 3826703.4795999974))"
46,TX,Texas A&M,General Land Office,Texas A&M,640.0,639.93,subsurface+surface,Andrews,21,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11386764.1706 3826559.3140999973, -11388603.7535 3826060.4772000015, -11389100.7629 3827909.367899999, -11387260.2905 3828408.413400002, -11386764.1706 3826559.3140999973))"
47,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.34,subsurface+surface,Andrews,09,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11394684.0766 3826392.9570000023, -11396544.1423 3825887.003700003, -11397042.7088 3827735.994900003, -11395181.8642 3828242.029799998, -11394684.0766 3826392.9570000023))"
48,TX,Texas A&M,General Land Office,Texas A&M,641.9,642.02,subsurface+surface,Andrews,02,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11402602.3112 3826221.5886999965, -11404447.9064 3825718.6777999997, -11404946.4722 3827567.1146000028, -11403101.7678 3828070.1050999984, -11402602.3112 3826221.5886999965))"
49,TX,Texas A&M,General Land Office,Texas A&M,640.0,639.9,subsurface+surface,Andrews,25,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11380747.5051 3826205.5725999996, -11382587.2175 3825707.289300002, -11383083.2253 3827556.6532000005, -11381242.7391 3828054.6218999997, -11380747.5051 3826205.5725999996))"
50,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.41,subsurface+surface,Andrews,13,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11388603.7535 3826060.4772000015, -11390464.5982 3825555.5922000036, -11390962.3872 3827404.4026999995, -11389100.7629 3827909.367899999, -11388603.7535 3826060.4772000015))"
51,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.25,subsurface+surface,Andrews,08,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11396544.1423 3825887.003700003, -11398404.9868 3825381.2014999986, -11398902.6631 3827229.456699997, -11397042.7088 3827735.994900003, -11396544.1423 3825887.003700003))"
52,TX,Texas A&M,General Land Office,Texas A&M,640.5,640.52,subsurface+surface,Andrews,03,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11404447.9064 3825718.6777999997, -11406288.3796 3825216.8444000036, -11406787.8363 3827064.6746999994, -11404946.4722 3827567.1146000028, -11404447.9064 3825718.6777999997))"
53,TX,Texas A&M,General Land Office,Texas A&M,640.0,640.08,subsurface+surface,Martin,29,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11374730.9042 3825848.3828999996, -11376571.3975 3825351.5667999983, -11377066.631 3827200.8803000003, -11375225.2489 3827697.7742, -11374730.9042 3825848.3828999996))"
54,TX,Texas A&M,General Land Office,Texas A&M,640.0,640.07,subsurface+surface,Andrews,24,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11382587.2175 3825707.289300002, -11384427.6897 3825209.412600003, -11384923.6985 3827058.170900002, -11383083.2253 3827556.6532000005, -11382587.2175 3825707.289300002))"
55,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.39,subsurface+surface,Andrews,14,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11390464.5982 3825555.5922000036, -11392325.4432 3825050.202299997, -11392823.232 3826898.932400003, -11390962.3872 3827404.4026999995, -11390464.5982 3825555.5922000036))"
56,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.22,subsurface+surface,Andrews,07,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11398404.9868 3825381.2014999986, -11400264.9416 3824874.764200002, -11400763.5085 3826723.0697000027, -11398902.6631 3827229.456699997, -11398404.9868 3825381.2014999986))"
57,TX,Texas A&M,General Land Office,Texas A&M,641.1,640.97,subsurface+surface,Andrews,04,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11406288.3796 3825216.8444000036, -11408130.523 3824713.975299999, -11408629.9794 3826561.7278999984, -11406787.8363 3827064.6746999994, -11406288.3796 3825216.8444000036))"
58,TX,Texas A&M,General Land Office,Texas A&M,439.5,441.35,subsurface+surface,Martin,30,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11376571.3975 3825351.5667999983, -11378088.4223 3824941.6488000005, -11378087.8715 3826924.886, -11377066.631 3827200.8803000003, -11376571.3975 3825351.5667999983))"
59,TX,Texas A&M,General Land Office,Texas A&M,200.5,198.69,subsurface+surface,Andrews,30,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11378088.4223 3824941.6488000005, -11378411.8905 3824854.243900001, -11378907.1248 3826703.4795999974, -11378087.8715 3826924.886, -11378088.4223 3824941.6488000005))"
60,TX,Texas A&M,General Land Office,Texas A&M,640.0,639.96,subsurface+surface,Andrews,23,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11384427.6897 3825209.412600003, -11386267.273 3824710.6335000023, -11386764.1706 3826559.3140999973, -11384923.6985 3827058.170900002, -11384427.6897 3825209.412600003))"
61,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.35,subsurface+surface,Andrews,15,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11392325.4432 3825050.202299997, -11394186.2883 3824544.8325000033, -11394684.0766 3826392.9570000023, -11392823.232 3826898.932400003, -11392325.4432 3825050.202299997))"
62,TX,Texas A&M,General Land Office,Texas A&M,639.9,639.74,subsurface+surface,Andrews,12,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11400264.9416 3824874.764200002, -11402103.7446 3824374.020800002, -11402602.3112 3826221.5886999965, -11400763.5085 3826723.0697000027, -11400264.9416 3824874.764200002))"
63,TX,Texas A&M,General Land Office,Texas A&M,641.1,641.02,subsurface+surface,Andrews,05,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11408130.523 3824713.975299999, -11409972.6668 3824210.7338000014, -11410472.1282 3826058.289499998, -11408629.9794 3826561.7278999984, -11408130.523 3824713.975299999))"
64,TX,Texas A&M,General Land Office,Texas A&M,640.0,639.99,subsurface+surface,Andrews,31,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11378411.8905 3824854.243900001, -11380251.4915 3824356.414800003, -11380747.5051 3826205.5725999996, -11378907.1248 3826703.4795999974, -11378411.8905 3824854.243900001))"
65,TX,Texas A&M,General Land Office,Texas A&M,640.0,640.02,subsurface+surface,Andrews,22,06,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11386267.273 3824710.6335000023, -11388107.7458 3824211.7427999973, -11388603.7535 3826060.4772000015, -11386764.1706 3826559.3140999973, -11386267.273 3824710.6335000023))"
66,TX,Texas A&M,General Land Office,Texas A&M,647.3,647.06,subsurface+surface,Andrews,16,05,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11394186.2883 3824544.8325000033, -11396046.3543 3824038.9574000016, -11396544.1423 3825887.003700003, -11394684.0766 3826392.9570000023, -11394186.2883 3824544.8325000033))"
67,TX,Texas A&M,General Land Office,Texas A&M,641.9,641.91,subsurface+surface,Andrews,11,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11402103.7446 3824374.020800002, -11403948.449 3823871.188199997, -11404447.9064 3825718.6777999997, -11402602.3112 3826221.5886999965, -11402103.7446 3824374.020800002))"
68,TX,Texas A&M,General Land Office,Texas A&M,646.0,645.96,subsurface+surface,Andrews,06,04,https://gisapps.universitylands.org/server/rest/services/Hosted/GrantTracts_SpatialJoin/FeatureServer/16,"POLYGON ((-11409972.6668 3824210.7338000014, -11411828.4369 3823703.9419, -11412328.7998 3825551.5851000026, -11410472.1282 3826058.289499998, -11409972.6668 3824210.7338000014))"
