,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,county,meridian,township,range,section,aliquot,data_source,geometry
10,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,39.95,surface,WOODS,I,24N,16W,22.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-98.89365600674778 36.542774875206035, -98.89816346419283 36.54279338342987, -98.89817645544358 36.539182723672454, -98.893667196584 36.53916751491169, -98.89365600674778 36.542774875206035))"
11,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,41.45,surface,WOODS,I,24N,16W,22.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-98.88900064327555 36.54275786656748, -98.89365600674778 36.542774875206035, -98.893667196584 36.53916751491169, -98.88895913152895 36.539154305459576, -98.88900064327555 36.54275786656748))"
12,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,45.9,surface,WOODS,I,24N,16W,22.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-98.88895913152895 36.539154305459576, -98.893667196584 36.53916751491169, -98.89367868593231 36.53521625875299, -98.88891361965598 36.535212349144594, -98.88895913152895 36.539154305459576))"
13,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,43.82,surface,WOODS,I,24N,16W,22.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-98.893667196584 36.53916751491169, -98.89817645544358 36.539182723672454, -98.89818974451933 36.535220067922666, -98.89367868593231 36.53521625875299, -98.893667196584 36.53916751491169))"
14,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,39.99,surface,WOODS,I,24N,16W,22.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-98.89816346419283 36.54279338342987, -98.90267092198823 36.54281169153614, -98.90268571277788 36.53919803238787, -98.89817645544358 36.539182723672454, -98.89816346419283 36.54279338342987))"
15,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,39.38,surface,WOODS,I,24N,16W,22.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-98.90267092198823 36.54281169153614, -98.90712787893133 36.542830300211385, -98.90710136763323 36.53921374050599, -98.90268571277788 36.53919803238787, -98.90267092198823 36.54281169153614))"
16,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,40.0,43.95,surface,WOODS,I,24N,16W,22.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-98.89817645544358 36.539182723672454, -98.90268571277788 36.53919803238787, -98.90270070220083 36.53522377670022, -98.89818974451933 36.535220067922666, -98.89817645544358 36.539182723672454))"
17,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,40.0,38.97,surface,WOODWARD,I,25N,18W,14.0,NE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.09748537530393 36.64925234280492, -99.10187742119079 36.64924485155888, -99.10188070626383 36.645624999475146, -99.09749296020364 36.64563229066158, -99.09748537530393 36.64925234280492))"
18,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,38.93,surface,WOODWARD,I,25N,18W,14.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.09749296020364 36.64563229066158, -99.10188070626383 36.645624999475146, -99.10188389062432 36.6420050470103, -99.09750054503543 36.64201243824925, -99.09749296020364 36.64563229066158))"
19,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,39.87,surface,WOODWARD,I,25N,18W,14.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.10188070626383 36.645624999475146, -99.10637175457232 36.645617708702105, -99.10637544012492 36.64199765665037, -99.10188389062432 36.6420050470103, -99.10188070626383 36.645624999475146))"
20,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,40.0,40.08,surface,WOODWARD,I,25N,18W,26.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.1063824167949 36.61305014007473, -99.11087916429645 36.61304824963525, -99.11087884792035 36.60941059860322, -99.10638140115732 36.60942208779034, -99.1063824167949 36.61305014007473))"
21,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,39.93,surface,WOODWARD,I,25N,18W,26.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.10188728461644 36.61667288157238, -99.10638333222518 36.61666999198589, -99.1063824167949 36.61305014007473, -99.10188566888142 36.61305202941011, -99.10188728461644 36.61667288157238))"
22,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,42.38,surface,WOODWARD,I,25N,18W,26.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.09714212877556 36.61667937119053, -99.10188728461644 36.61667288157238, -99.10188566888142 36.61305202941011, -99.09708851181644 36.6130581194579, -99.09714212877556 36.61667937119053))"
23,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,40.0,37.0,surface,WOODWARD,I,25N,18W,35.0,NW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.11087884792035 36.60941059860322, -99.11508648617146 36.609399907754984, -99.11505606940216 36.60581005523812, -99.1108758328919 36.60580894575444, -99.11087884792035 36.60941059860322))"
24,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,40.0,38.52,surface,WOODWARD,I,26N,19W,18.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.27750353861305 36.728919525185596, -99.28193686630976 36.728936829584185, -99.28193384578525 36.72538798095934, -99.27749241796977 36.72538057698053, -99.27750353861305 36.728919525185596))"
25,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,39.39,surface,ROGER MILLS,I,15N,22W,24.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.49104654214817 35.76182293876187, -99.4954475398648 35.76183824781419, -99.49546955998632 35.758228674262256, -99.49106916286706 35.758213765815384, -99.49104654214817 35.76182293876187))"
26,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,40.23,surface,ROGER MILLS,I,15N,22W,24.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.49106916286706 35.758213765815384, -99.49546955998632 35.758228674262256, -99.49549057736637 35.75451070173436, -99.49109138152797 35.75455609327027, -99.49106916286706 35.758213765815384))"
27,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,40.0,42.39,surface,ROGER MILLS,I,15N,22W,24.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.49546955998632 35.758228674262256, -99.50005676118045 35.75824178333453, -99.50002497664444 35.754463911181, -99.49549057736637 35.75451070173436, -99.49546955998632 35.758228674262256))"
28,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,45.15,surface,ELLIS,I,17N,22W,18.0,NE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.57691959639514 35.95557308596204, -99.58185236973921 35.95559396336914, -99.58180579417363 35.95188449235986, -99.57689202056989 35.95186661493906, -99.57691959639514 35.95557308596204))"
29,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,43.9,surface,ELLIS,I,17N,22W,18.0,NE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.57689202056989 35.95186661493906, -99.58180579417363 35.95188449235986, -99.58175871923925 35.94826282168575, -99.57686514575511 35.94824994364043, -99.57689202056989 35.95186661493906))"
30,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,42.79,surface,ELLIS,I,18N,22W,5.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.57372452607687 36.0646898999561, -99.57859300513765 36.06465168017986, -99.57837977505808 36.0610299567279, -99.57370080001014 36.061056476421925, -99.57372452607687 36.0646898999561))"
31,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,40.02,surface,ELLIS,I,18N,22W,5.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.56926615397222 36.064703818968844, -99.57372452607687 36.0646898999561, -99.57370080001014 36.061056476421925, -99.56924252824338 36.06106989464139, -99.56926615397222 36.064703818968844))"
32,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,39.18,surface,ELLIS,I,18N,22W,5.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.56924252824338 36.06106989464139, -99.57370080001014 36.061056476421925, -99.57367697357442 36.05750345064701, -99.56921910324111 36.05750746994449, -99.56924252824338 36.06106989464139))"
33,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,40.14,surface,ELLIS,I,18N,22W,5.0,SW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.57370080001014 36.061056476421925, -99.57837977505808 36.0610299567279, -99.57817194580146 36.057499532002744, -99.57367697357442 36.05750345064701, -99.57370080001014 36.061056476421925))"
34,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,40.5,41.42,surface,ELLIS,I,18N,22W,7.0,NW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.59602282282427 36.0574821191269, -99.59602281750674 36.05378713020341, -99.59149525389476 36.053769785114575, -99.59151671312864 36.057499466163875, -99.59602282282427 36.0574821191269))"
35,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,40.0,41.32,surface,ELLIS,I,18N,22W,7.0,NW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.58702718655996 36.05751489379889, -99.59148265802787 36.05752257377015, -99.59148662744587 36.053763751985585, -99.58702925714546 36.05376757105567, -99.58702718655996 36.05751489379889))"
36,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,40.91,surface,ELLIS,I,18N,22W,7.0,NE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.58257928780145 36.05377399050207, -99.58257745965453 36.05014286649402, -99.57796508830583 36.05015458559279, -99.5780672166241 36.053781910102416, -99.58257928780145 36.05377399050207))"
37,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,41.05,surface,ELLIS,I,18N,22W,7.0,NE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.57817194580146 36.057499532002744, -99.58258091539014 36.05750711259095, -99.58257928780145 36.05377399050207, -99.5780672166241 36.053781910102416, -99.57817194580146 36.057499532002744))"
38,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,39.94,surface,ELLIS,I,18N,22W,7.0,NE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.58702925714546 36.05376757105567, -99.58703122951019 36.050135446681466, -99.58257745965453 36.05014286649402, -99.58257928780145 36.05377399050207, -99.58702925714546 36.05376757105567))"
39,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,41.1,surface,ELLIS,I,18N,22W,7.0,NE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.58258091539014 36.05750711259095, -99.58702718655996 36.05751489379889, -99.58702925714546 36.05376757105567, -99.58257928780145 36.05377399050207, -99.58258091539014 36.05750711259095))"
40,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,40.01,surface,ELLIS,I,18N,22W,7.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.58257745965453 36.05014286649402, -99.58703122951019 36.050135446681466, -99.58703330092841 36.04649962229045, -99.58257553231576 36.046509842072915, -99.58257745965453 36.05014286649402))"
41,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,40.21,surface,ELLIS,I,18N,22W,7.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.58257553231576 36.046509842072915, -99.58703330092841 36.04649962229045, -99.58703527286858 36.04285159881377, -99.58257370432364 36.04285891784625, -99.58257553231576 36.046509842072915))"
42,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,41.82,surface,ELLIS,I,18N,22W,7.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.57796508830583 36.05015458559279, -99.58257745965453 36.05014286649402, -99.58257553231576 36.046509842072915, -99.57786295947878 36.046527262387265, -99.57796508830583 36.05015458559279))"
43,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,43.02,surface,ELLIS,I,18N,22W,7.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.57786295947878 36.046527262387265, -99.58257553231576 36.046509842072915, -99.58257370432364 36.04285891784625, -99.57775983120659 36.04286683950659, -99.57786295947878 36.046527262387265))"
44,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,40.85,surface,ELLIS,I,18N,22W,8.0,NW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.56921910324111 36.05750746994449, -99.57367697357442 36.05750345064701, -99.57366964733282 36.05379152822037, -99.56921017704535 36.05380254745072, -99.56921910324111 36.05750746994449))"
45,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,39.01,surface,ELLIS,I,18N,22W,8.0,NW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.5780672166241 36.053781910102416, -99.57796508830583 36.05015458559279, -99.57366242022609 36.05015970509238, -99.57366964733282 36.05379152822037, -99.5780672166241 36.053781910102416))"
46,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,40.03,surface,ELLIS,I,18N,22W,8.0,NW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.57366964733282 36.05379152822037, -99.57366242022609 36.05015970509238, -99.56920125107914 36.05016922382151, -99.56921017704535 36.05380254745072, -99.57366964733282 36.05379152822037))"
47,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,40.8,surface,ELLIS,I,18N,22W,8.0,NW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.57367697357442 36.05750345064701, -99.57817194580146 36.057499532002744, -99.5780672166241 36.053781910102416, -99.57366964733282 36.05379152822037, -99.57367697357442 36.05750345064701))"
48,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,42.76,surface,ELLIS,I,18N,22W,33.0,NE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.54203353340034 35.99571304134369, -99.5468045993241 35.995678618105494, -99.54679132172963 35.99204244598817, -99.54204495679738 35.99208036886144, -99.54203353340034 35.99571304134369))"
49,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,39.5,surface,ELLIS,I,18N,22W,33.0,NE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.54202300463737 35.99902991584428, -99.54681866990336 35.999041992779816, -99.5468045993241 35.995678618105494, -99.54203353340034 35.99571304134369, -99.54202300463737 35.99902991584428))"
50,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,40.0,42.74,surface,ELLIS,I,20N,23W,34.0,NW,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.64531567662715 36.17364879767135, -99.64995127225954 36.17369288249287, -99.64995123411958 36.16993015809614, -99.64531234043328 36.16993917241581, -99.64531567662715 36.17364879767135))"
51,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,37.56,surface,HARPER,I,27N,23W,2.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.63871885739565 36.848850754325035, -99.64297382416511 36.84885816506884, -99.64295675721587 36.84522250187912, -99.6387613919383 36.845216392037806, -99.63871885739565 36.848850754325035))"
52,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,40.36,surface,HARPER,I,27N,23W,2.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.64297382416511 36.84885816506884, -99.64751180311188 36.84886867525477, -99.64749683514431 36.84523261278326, -99.64295675721587 36.84522250187912, -99.64297382416511 36.84885816506884))"
53,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,39.72,33.99,surface,HARPER,I,27N,23W,5.0,NE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-99.69730238458963 36.85601523139159, -99.6972651203809 36.85251866373401, -99.6933377665987 36.85252465371579, -99.69337153217447 36.856101520333546, -99.69730238458963 36.85601523139159))"
54,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,40.28,surface,CIMARRON,C,2N,1E,8.0,NE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-102.96639204590855 36.65777166584232, -102.96641886386463 36.66143732316027, -102.97090505490463 36.66141462896557, -102.97087733718557 36.65775457039678, -102.96639204590855 36.65777166584232))"
55,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,40.28,surface,CIMARRON,C,2N,1E,8.0,NE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-102.9708496204631 36.6540945123469, -102.9663653287818 36.65410590751534, -102.96639204590855 36.65777166584232, -102.97087733718557 36.65775457039678, -102.9708496204631 36.6540945123469))"
56,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,40.22,surface,CIMARRON,C,2N,1E,8.0,NE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-102.97087733718557 36.65775457039678, -102.97090505490463 36.66141462896557, -102.97539124670995 36.661391833253525, -102.97536262953604 36.6577374752788, -102.97087733718557 36.65775457039678))"
57,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,160.0,40.21,surface,CIMARRON,C,2N,1E,8.0,NE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-102.9708496204631 36.6540945123469, -102.97087733718557 36.65775457039678, -102.97536262953604 36.6577374752788, -102.97533391228222 36.65408321669722, -102.9708496204631 36.6540945123469))"
58,OK,"34. Stat. 267-286 , esp. 272, 274-75 (1906)",All,Commissioners of the Land Office,Oklahoma State University,80.0,40.21,surface,CIMARRON,C,2N,1E,8.0,SE,https://gis.clo.ok.gov/arcgis/rest/services/Public/OKLeaseData_ExternalProd/MapServer/2,"POLYGON ((-102.97082190317435 36.65043455486472, -102.9708496204631 36.6540945123469, -102.97533391228222 36.65408321669722, -102.97530529492623 36.65042885893876, -102.97082190317435 36.65043455486472))"
