,present_day_tribe,cession_count,cession_number,subsurface_acres,surface_acres,timber_acres,university,state
14,"Cheyenne and Arapaho Tribes, Oklahoma",3,"525, 477, 426",84288.05,65009.23,,"Colorado State University, Oklahoma State University, University of Wyoming","OK, CO, WY"
15,"Chickasaw Nation, Oklahoma",3,"367, 485, 368",9397.83,320.47,,Oklahoma State University,OK
16,"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana",2,"242, 445",21347.25,35113.4,,"University of Minnesota, North Dakota State University, University of Wisconsin","ND, WI, MN"
17,Choctaw Nation of Oklahoma,3,"367, 485, 368",9397.83,320.47,,Oklahoma State University,OK
18,"Coeur D'Alene Tribe, Idaho",2,"553, 552",29807.85,18467.85,3118.64,"Washington State University, University of Idaho","ID, WA"
19,"Comanche Nation, Oklahoma",3,"478, 511, 510",1802257.27,1596289.99,,"Colorado State University, Oklahoma State University, New Mexico State University, Texas A&M","NM, OK, CO, TX"
20,"Confederated Salish & Kootenai Tribes of the Flathead Reservation, Montana",2,"399, 373",113260.4,78377.1,,"University of Idaho, Montana State University","ID, MT"
21,"Confederated Tribes and Bands of the Yakama Nation, Washington",2,"364, 458",96746.06,86329.33,86992.15,Washington State University,WA
22,"Confederated Tribes of the Chehalis Reservation, Washington",1,458,48143.39,47091.49,47754.31,Washington State University,WA
23,"Confederated Tribes of the Colville Reservation, Washington",4,"532, 536, 373, 533",113436.16,84478.53,30911.1,"Washington State University, University of Idaho, Montana State University","ID, WA, MT"
24,Confederated Tribes of the Goshute Reservation,1,520,56310.6,27318.64,,"Utah State University, University of Idaho, University of Wyoming","ID, WY, UT"
25,"Confederated Tribes of the Umatilla Indian Reservation, Oregon",1,362,1881.61,1570.94,1570.94,Washington State University,WA
26,"Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota",10,"597, 598, 581, 632, 516, 653, 243, 599, 699, 614",103628.1,47546.97,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
27,Crow Tribe of Montana,8,"714, 574, 585, 635, 517, 557, 619, 565",112724.58,81670.19,,"Montana State University, University of Wyoming","MT, WY"
28,Duwamish Tribe of Indians [Unrecognized],1,347,29111.83,28874.47,28537.74,Washington State University,WA
29,Eastern Band of Cherokee Indians of North Carolina,1,489,5921.11,1185.96,,Oklahoma State University,OK
30,Flandreau Santee Sioux Tribe of South Dakota,10,"597, 598, 581, 632, 516, 653, 243, 599, 699, 614",103628.1,47546.97,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
31,"Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota",1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","WI, MN"
32,Fort Belknap Indian Community of the Fort Belknap Reservation of Montana,8,"712, 621, 574, 713, 529, 692, 620, 565",86332.06,44514.8,,"Montana State University, North Dakota State University","MT, ND"
33,"Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California",1,558,8324.61,1858.16,,Utah State University,UT
34,"Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon",1,558,8324.61,1858.16,,Utah State University,UT
35,Fort Sill Apache Tribe of Oklahoma,2,"448, 688",1950752.06,1889052.21,,"Oklahoma State University, New Mexico State University, Texas A&M","NM, OK, TX"
36,"Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota",1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","WI, MN"
37,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","WI, MN"
38,Ho-Chunk Nation of Wisconsin,4,"245, 468, 174, 361",827.19,243,,"University of Minnesota, South Dakota State University, University of Wisconsin","SD, WI, MN"
39,"Jamestown S'Klallam Tribe, Washington",1,353,7335.76,6417.08,6417.08,Washington State University,WA
40,"Jena Band of Choctaw Indians, Louisiana",3,"367, 485, 368",9397.83,320.47,,Oklahoma State University,OK
41,"Jicarilla Apache Nation, New Mexico",2,"448, 688",1950752.06,1889052.21,,"Oklahoma State University, New Mexico State University, Texas A&M","NM, OK, TX"
42,"Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona",1,558,8324.61,1858.16,,Utah State University,UT
43,"Keweenaw Bay Indian Community, Michigan",2,"242, 398",108967.83,88303.45,,"University of Minnesota, Montana State University, University of Wisconsin","MT, WI, MN"
44,Kiowa Indian Tribe of Oklahoma,3,"478, 511, 510",1802257.27,1596289.99,,"Colorado State University, Oklahoma State University, New Mexico State University, Texas A&M","NM, OK, CO, TX"
45,Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,5,"336, 332, 242, 268, 261",29240.6,85792.34,,"University of Minnesota, University of Wisconsin","WI, MN"
46,"Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan",6,"336, 332, 242, 268, 261, 398",120588.37,139376.9,,"University of Minnesota, Montana State University, University of Wisconsin","MT, WI, MN"
47,Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,5,"336, 332, 242, 268, 261",29240.6,85792.34,,"University of Minnesota, University of Wisconsin","WI, MN"
48,"Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
49,"Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota",7,"336, 269, 332, 242, 268, 357, 261",44980.13,93807.65,,"University of Minnesota, University of Wisconsin","WI, MN"
50,"Lone Pine Paiute-Shoshone Tribe, California",1,558,8324.61,1858.16,,Utah State University,UT
51,"Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
52,"Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota",10,"597, 598, 581, 632, 516, 653, 243, 599, 699, 614",103628.1,47546.97,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
53,"Lower Elwha Tribal Community, Washington",1,353,7335.76,6417.08,6417.08,Washington State University,WA
54,Lower Sioux Indian Community in the State of Minnesota,10,"597, 598, 581, 632, 516, 653, 243, 599, 699, 614",103628.1,47546.97,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
55,"Makah Indian Tribe of the Makah Indian Reservation, Washington",1,355,1701.01,1701.01,1701.01,Washington State University,WA
56,Menominee Indian Tribe of Wisconsin,4,"219, 271, 321, 160",118.98,119.55,,"University of Minnesota, University of Wisconsin","WI, MN"
57,"Mescalero Apache Tribe of the Mescalero Reservation, New Mexico",3,"448, 688, 644",1952422.92,1889423.84,,"Oklahoma State University, New Mexico State University, Texas A&M","NM, OK, TX"
58,"Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota",6,"336, 332, 242, 268, 357, 261",44861.15,93807.65,,"University of Minnesota, University of Wisconsin","WI, MN"
59,"Minnesota Chippewa Tribe, Minnesota",1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","WI, MN"
60,"Mississippi Band of Choctaw Indians, Mississippi",3,"367, 485, 368",9397.83,320.47,,Oklahoma State University,OK
61,"Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
62,"Muscogee (Creek) Nation, Oklahoma",1,698,934.29,641.72,,Oklahoma State University,OK
63,"Navajo Nation, Arizona, New Mexico & Utah",1,519,20045.12,20278.19,,"New Mexico State University, University of Arizona","NM, AZ"
64,Nez Perce Tribe of Idaho,6,"642, 399, 366, 659, 441, 618",161885.32,136458.23,3173.18,"Washington State University, University of Idaho, Montana State University","ID, WA, MT"
65,"Nisqually Indian Tribe of the Nisqually Reservation, Washington",1,345,1282.5,1898.29,1898.29,Washington State University,WA
66,Nonfederally Recognized Indian Groups,1,345,1282.5,1898.29,1898.29,Washington State University,WA
67,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",5,"598, 599, 477, 597, 426",100488.94,85209.7,,"North Dakota State University, Colorado State University, South Dakota State University, University of Wyoming, Montana State University","SD, ND, CO, WY, MT"
68,Northwestern Band of Shoshoni Nation of Utah (Washakie),1,444,75371.4,26426.26,,"Utah State University, University of Idaho","ID, UT"
69,"Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota",10,"597, 598, 581, 632, 516, 653, 243, 599, 699, 614",103628.1,47546.97,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
70,Paiute Indian Tribe of Utah,1,558,8324.61,1858.16,,Utah State University,UT
71,"Paiute-Shoshone Indians of the Bishop Community of the Bishop Colony, California",1,558,8324.61,1858.16,,Utah State University,UT
72,"Paiute-Shoshone Indians of the Lone Pine Community of the Lone Pine Reservation, California",1,558,8324.61,1858.16,,Utah State University,UT
73,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
74,Pawnee Nation of Oklahoma,1,591,320.08,,,Oklahoma State University,OK
75,"Poarch Band of Creeks, Alabama",1,698,934.29,641.72,,Oklahoma State University,OK
76,"Port Gamble S'Klallam Tribe, Washington",1,353,7335.76,6417.08,6417.08,Washington State University,WA
77,Prairie Island Indian Community in the State of Minnesota,10,"597, 598, 581, 632, 516, 653, 243, 599, 699, 614",103628.1,47546.97,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
78,"Puyallup Tribe of the Puyallup Reservation, Washington",1,345,1282.5,1898.29,1898.29,Washington State University,WA
79,"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
80,"Quapaw Tribe of Indians, Oklahoma",1,94,9397.83,320.47,,Oklahoma State University,OK
81,"Quileute Tribe of the Quileute Reservation, Washington",1,371,1114.44,1114.44,1114.44,Washington State University,WA
82,"Quinault Tribe of the Quinault Reservation, Washington",2,"458, 371",49257.83,48205.93,48868.75,Washington State University,WA
83,Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,5,"336, 332, 242, 268, 261",29240.6,85792.34,,"University of Minnesota, University of Wisconsin","WI, MN"
84,"Red Lake Band of Chippewa Indians, Minnesota",2,"242, 445",21347.25,35113.4,,"University of Minnesota, North Dakota State University, University of Wisconsin","ND, WI, MN"
85,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota",10,"597, 598, 581, 632, 516, 653, 243, 599, 699, 614",103628.1,47546.97,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
86,Saginaw Chippewa Indian Tribe of Michigan,1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","WI, MN"
87,"San Carlos Apache Tribe of the San Carlos Reservation, Arizona",2,"448, 689",642356.61,606462.76,,"New Mexico State University, University of Arizona","NM, AZ"
88,San Juan Southern Paiute Tribe of Arizona,1,558,8324.61,1858.16,,Utah State University,UT
89,"Santee Sioux Nation, Nebraska",12,"597, 598, 523, 581, 632, 516, 653, 243, 599, 699, 492, 614",105610.73,47546.97,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Oklahoma State University, Montana State University","SD, OK, ND, WY, MN, MT, WI"
90,Sault Ste. Marie Tribe of Chippewa Indians of Michigan,1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","WI, MN"
91,Seminole Nation of Oklahoma,1,404,5844.1,766.27,,Oklahoma State University,OK
92,Seminole Tribe of Florida,1,404,5844.1,766.27,,Oklahoma State University,OK
93,Shakopee Mdewakanton Sioux Community of Minnesota,10,"597, 598, 581, 632, 516, 653, 243, 599, 699, 614",103628.1,47546.97,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
94,"Shoalwater Bay Tribe of the Shoalwater Bay Indian Reservation, Washington",1,458,48143.39,47091.49,47754.31,Washington State University,WA
95,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,2,"520, 524",56632.63,27318.64,,"Utah State University, University of Idaho, University of Wyoming","ID, WY, UT"
96,"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
97,"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota",15,"597, 598, 496, 581, 632, 516, 497, 653, 243, 599, 699, 538, 539, 289, 614",151385.38,52301.68,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
98,"Sokaogon Chippewa Community, Wisconsin",1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","WI, MN"
99,"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado",5,"586, 616, 450, 451, 566",23982.32,4671.49,,"Utah State University, Colorado State University","CO, UT"
100,"Spirit Lake Tribe, North Dakota",10,"597, 598, 581, 632, 516, 653, 243, 599, 699, 614",103628.1,47546.97,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
101,"Spokane Tribe of the Spokane Reservation, Washington",1,625,4011.97,2925.73,2925.73,Washington State University,WA
102,"Squaxin Island Tribe of the Squaxin Island Reservation, Washington",1,345,1282.5,1898.29,1898.29,Washington State University,WA
103,St. Croix Chippewa Indians of Wisconsin,1,242,17620.06,34718.89,,"University of Minnesota, University of Wisconsin","WI, MN"
104,Standing Rock Sioux Tribe of North & South Dakota,11,"597, 598, 581, 702, 632, 516, 653, 243, 599, 699, 614",104105.38,48024.32,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
105,Summit Lake Paiute Tribe of Nevada,1,558,8324.61,1858.16,,Utah State University,UT
106,"Suquamish Indian Tribe of the Port Madison Reservation, Washington",1,347,29111.83,28874.47,28537.74,Washington State University,WA
107,Te-Moak Tribe of Western Shoshone Indians of Nevada,1,444,75371.4,26426.26,,"Utah State University, University of Idaho","ID, UT"
108,"The Osage Nation, Oklahoma",2,"97, 123",14410.64,2593.95,,Oklahoma State University,OK
109,"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",5,"712, 621, 713, 529, 620",19403.67,1145.24,,"Montana State University, North Dakota State University","MT, ND"
110,Tonto Apache Tribe of Arizona,2,"448, 689",642356.61,606462.76,,"New Mexico State University, University of Arizona","NM, AZ"
111,Turtle Mountain Band of Chippewa Indians of North Dakota,3,"654, 242, 445",22789.14,35431.29,,"University of Minnesota, North Dakota State University, University of Wisconsin","ND, WI, MN"
112,United Keetoowah Band of Cherokee Indians in Oklahoma,1,489,5921.11,1185.96,,Oklahoma State University,OK
113,"Upper Sioux Community, Minnesota",10,"597, 598, 581, 632, 516, 653, 243, 599, 699, 614",103628.1,47546.97,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
114,"Ute Indian Tribe of the Uintah & Ouray Reservation, Utah",6,"586, 616, 450, 451, 432, 566",56324.8,13717.88,,"Utah State University, Colorado State University","CO, UT"
115,"Ute Mountain Ute Tribe, Colorado, New Mexico, & Utah",6,"586, 616, 450, 451, 566, 515",48038.73,22750.41,,"Utah State University, Colorado State University","CO, UT"
116,"Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California",1,558,8324.61,1858.16,,Utah State University,UT
117,"Walker River Paiute Tribe of the Walker River Reservation, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
118,"White Earth Band of Minnesota Chippewa Tribe, Minnesota",8,"336, 269, 332, 242, 268, 357, 261, 445",48707.32,94202.16,,"University of Minnesota, North Dakota State University, University of Wisconsin","ND, WI, MN"
119,"White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",3,"448, 688, 689",2590543.52,2493276.18,,"Oklahoma State University, University of Arizona, New Mexico State University, Texas A&M","NM, OK, AZ, TX"
120,"Wichita and Affiliated Tribes (Wichita, Keechi, Waco & Tawakonie), Oklahoma",1,540a,662.96,,,Oklahoma State University,OK
121,Winnebago Tribe of Nebraska,4,"245, 468, 174, 361",827.19,243,,"University of Minnesota, South Dakota State University, University of Wisconsin","SD, WI, MN"
122,Yankton Sioux Tribe of South Dakota,11,"597, 598, 581, 632, 516, 653, 243, 410, 599, 699, 614",108104.09,49442.82,,"University of Minnesota, North Dakota State University, University of Wisconsin, South Dakota State University, University of Wyoming, Montana State University","SD, ND, WY, MN, MT, WI"
123,"Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch, Nevada",1,558,8324.61,1858.16,,Utah State University,UT
