"
UA Properties by County, August 2022",,
Apache County,,
116-33-050A,"715 E. Polk St., Phoenix",0.17
116-33-051A,"719 E. Polk St., Phoenix",0.17
116-33-052A,"725 E. Polk St., Phoenix",0.17
116-33-053A,"727 E. Polk St., Phoenix",0.17
116-33-054A,"731 E. Polk St., Phoenix",0.17
116-33-055A,"735 E. Polk St., Phoenix",0.17
116-33-056A,"739 E. Polk St., Phoenix",0.17
116-33-114,"714 E. Van Buren, Phoenix",1.30
123-06-027A,,0.86
173-42-397A,"7135 E. Camelback Rd., Scottsale",0.15
173-42-398A,"7135 E. Camelback Rd., Scottsale",0.11
173-42-401A,"7135 E. Camelback Rd., Scottsale",0.09
173-42-403,"7135 E. Camelback Rd., Scottsale",0.15
173-42-404,"7135 E. Camelback Rd., Scottsale",0.14
,,
Mohave County,,
,,
Parcel Number,Parcel Address,Parcel Size
210-37-021,,10.00
210-37-051,,10.00
215-05-032,,2.35
215-06-217,3884 S. Mesquite Rd.,2.35
317-06-348,,10.00
317-17-039,,10.00
317-20-018,,5.00
317-20-081,,5.00
317-46-015,"19392 N. Pinto Rd., While Hills",4.70
317-46-096,"19056 N. Pony Rd., White Hills",4.70
319-04-012F,,5.00
319-04-012L,,5.00
319-04-012M,,5.00
321-03-224,,0.06
321-03-287,,0.17
326-12-115,,10.00
340-23-024,,10.00
340-24-027,,5.00
351-11-089A,,35.00
,,
Navajo County,,
,,
Parcel Number,Parcel Address,Parcel Size
104-32-006,,30.37
,,
Pima County,,
,,
Parcel Number,Parcel Address,Parcel Size
107-01-011A,,7.26
107-02-005A,2831 N. Freeway,32.65
107-03-1600,,3.49
108-21-033D,4101 N. Campbell Ave.,73.83
108-25-011D,,1.08
108-25-016B,4040 N. Campbell Ave.,17.94
108-25-017C,2201 E. Roger Rd.,48.35
110-10-024G,4715 E. Fort Lowell Rd.,6.63
112-02-0010,2100 E. Allen Rd.,4.22
112-02-027A,,4.66
112-02-028A,3920 N Wilson Ave.,4.58
112-02-029A,,5.39
112-02-030A,,4.21
112-02-031A,,5.47
112-02-032A,,3.59
114-19-014A,,18.50
114-19-019A,4101 N. Bear Canyon Rd.,25.35
114-19-0200,,41.61
114-39-124B,,0.69
114-45-2650,2799 N. Indian Ruins Rd.,12.65
114-49-0120,,0.14
115-04-516B,1018 N. Euclid Ave.,0.06
115-04-5800,,0.18
115-04-5810,,0.23
115-04-5820,814 E. 1st St.,0.15
115-04-5830,,0.06
115-04-5840,,0.01
115-04-5850,,0.11
115-04-5860,,0.15
115-04-5870,932 N. Euclid Ave.,0.16
115-04-5880,802 E. 1st St.,0.11
115-04-5890,926 N. Euclid Ave.,0.21
115-04-5900,925 N. Tyndall Ave.,0.42
115-04-5920,,0.22
115-04-5930,801 E. 2nd St.,0.18
115-04-5940,,0.15
115-04-5950,,0.04
115-04-597B,,0.04
115-04-599A,,0.12
115-04-600B,888 N. Euclid Ave.,1.16
115-07-3210,1415 N. 6th Ave.,1.90
115-07-336A,,1.03
115-17-0290,,1.13
116-15-088C,,4.95
116-15-089B,1625  W. Anklam Rd.,1.28
116-15-089D,,0.04
116-15-090B,,0.03
116-15-0910,1645 W. Anklam Rd.,0.61
116-15-092A,1600 W. Tucson Terrace,0.39
116-15-092B,,0.33
116-15-0930,1601 W. Anklam Rd.,1.94
116-15-190D,,3.21
116-15-1930,,80.12
116-16-2170,,0.08
116-16-218A,412 W. Saint Marys Rd.,0.10
116-16-219B,,0.02
116-16-225B,,0.09
116-19-007A,,0.22
116-19-0080,510 N. Main Ave.,0.22
116-19-009B,,0.05
116-19-0100,554 N. Main Ave.,0.14
116-19-0110,556 N. Main Ave.,0.07
116-19-018B,,0.44
116-24-1060,,4.85
116-24-107A,1675 W. Anklam Rd.,250.89
117-04-1830,,0.69
117-04-1840,306 W. 5th St.,0.05
117-04-195A,,0.09
117-10-001C,210 W. 6th St.,2.13
117-10-137B,220 W. 6th St.,2.50
117-10-1610,,0.22
117-13-2260,44 E. Broadway Unit 104,0.03
119-41-0920,,0.08
121-03-0130,,0.05
121-03-0140,,0.04
123-06-030A,1627 N. Tucson Bl.,0.12
123-06-0400,1601 N. Tucson Bl. Unit 16,0.06
123-06-0410,1601 N. Tucson Bl. Unit 17,0.10
123-06-045A,1601 N. Tucson Bl. Unit 3,0.07
123-06-0520,1601 N. Tucson Bl. Unit 23 &23A,0.09
123-06-0590,1601 N. Tucson Bl. Unit 32,0.09
123-10-001J,1501 N. Campbell Ave.,17.57
123-10-001D,,0.09
123-10-0260,1502 E. Lester St.,0.17
123-10-027A,,0.04
123-10-027B,1742 N. Vine Ave.,0.04
123-10-029A,1218 N. Warren Ave.,0.47
123-10-035B,1717 E. Speedway Bl.,2.06
123-10-0390,,0.53
123-11-0160,1518 E. Lester St.,0.18
123-11-0170,1526 E. Lester St.,0.16
123-11-0200,1550 E. Lester St.,0.26
123-11-0430,,0.03
123-11-044A,,0.23
123-15-147A,1435 N. Fremont Ave.,1.31
123-15-148A,1416 N. Park Ave.,0.13
123-15-149A,1412 N. Park Ave.,0.16
123-15-1500,1015 E. Drachman St.,0.10
123-15-1520,1029 E. Drachman St.,0.11
123-15-1540,1041 E. Drachman St.,0.14
123-15-1550,1047 E. Drachman St.,0.14
123-15-156A,1415 E. Drachman St.,0.28
123-16-0020,,0.40
123-16-0140,,0.14
123-16-0150,,0.28
123-16-016A,,0.28
123-16-0180,1101 E. Mabel St.,0.16
123-16-0190,,0.19
123-16-0200,,0.19
123-16-0210,,0.14
123-16-0220,,0.33
123-16-0240,,0.18
123-16-0250,,0.17
123-16-0260,,0.18
123-16-0270,,0.19
123-16-028C,,0.32
123-16-030A,1051 E. Mabel St.,1.36
123-16-030B,1025 E. Mabel St.,0.33
123-16-032B,,0.18
123-16-033A,1330 N. Park Ave.,0.18
123-16-036A,1001 E. Mabel St.,0.19
123-16-037A,,0.19
123-16-038B,1009 E. Mabel St.,0.32
123-16-0460,,0.15
123-16-0470,1231 N. Fremont Ave.,0.15
123-16-0480,1227 N. Fremont Ave.,0.15
123-16-0490,,0.23
123-16-0500,,0.23
123-16-055A,1210 N. Park Ave.,0.13
123-16-056A,,0.13
123-16-0570,,0.06
123-16-0580,,0.11
123-16-0590,1250 N. Park Ave.,0.20
123-16-0600,,0.26
123-16-0610,,0.19
123-16-0620,1221 N. Fremont Ave.,0.11
123-16-0630,1217 N. Fremont Ave.,0.11
123-16-0640,,0.11
123-16-0650,1203 N. Fremont Ave.,0.17
123-16-0670,,0.16
123-16-0680,1227 N. Santa Rita Ave.,0.10
123-16-0690,1132 E. Mabel St.,0.24
123-16-070A,1128 E. Mabel St.,0.15
123-16-071A,,0.28
123-16-0720,1116 E. Mabel St.,0.24
123-16-0730,1244 E. Fremont Ave.,0.11
123-16-0740,,0.10
123-16-0750,1234 N. Fremont Ave.,0.12
123-16-0760,1228 N. Fremont Ave.,0.10
123-16-0770,,0.13
123-16-0780,,0.14
123-16-0790,,0.10
123-16-0800,,0.09
123-16-0820,,0.23
123-16-0830,1131 E. Helen St.,0.23
123-16-0840,1133 E. Helen St.,0.22
123-16-0850,1219 N. Santa Rita Ave.,0.20
123-16-0860,1201 N. Santa Rita Ave.,0.28
123-16-0870,1249 N. Mountain Ave.,0.21
123-16-0880,1241 N. Mountain Ave.,0.17
123-16-0890,1237 N. Mountain Ave.,0.15
123-16-0900,1235 N. Mountain Ave.,0.13
123-16-0910,1240 E. Mabel St.,0.25
123-16-092A,1216 E. Mabel St.,0.15
123-16-0930,1208 E. Mabel St.,0.16
123-16-094A,1228 N. Santa Rita Ave.,0.20
123-16-0950,1200 E. Mabel St.,0.15
123-16-0960,1201 E. Helen St.,0.23
123-16-0970,1209 E. Helen St.,0.23
123-16-0980,1215 E. Helen St.,0.23
123-16-0990,1221 E. Helen St.,0.24
123-16-1000,,0.23
123-16-1030,1203 N. Mountain Ave.,0.16
123-16-104A,1145 N. Mountain Ave.,0.45
123-16-106B,1201 E. Speedway Bl.,2.70
123-16-1190,1145 N. Santa Rita Ave.,0.24
123-16-1200,1137 N. Santa Rita Ave.,0.16
123-16-1210,1130 E. Helen St.,0.44
123-16-1230,1124 E. Helen St.,0.22
123-16-1240,1116 E. Helen St.,0.23
123-16-1250,,0.22
123-16-1260,1104 E. Helen St.,0.15
123-16-127B,1128 N. Fremont Ave.,0.48
123-16-1280,1114 N. Fremont Ave.,0.13
123-16-129B,1105 E. Speedway Bl.,0.15
123-16-131A,1107 E. Speedway Bl.,0.08
123-16-132A,1127 E. Speedway Bl.,0.08
123-16-1330,,0.08
123-16-134A,1131 E. Speedway Bl.,0.08
123-16-135A,1187 E. Speedway Bl.,0.15
123-16-1360,1189 E. Speedway Bl.,0.26
123-16-137A,1195 E. Speedway Bl.,1.03
123-16-139B,,0.87
123-16-1410,1036 E. Helen St.,0.21
123-16-1420,1034 E. Helen St.,0.21
123-16-1430,1020 E. Helen St.,0.22
123-16-1440,1016 E. Helen St.,0.22
123-16-148A,1009 E. Speedway Bl.,0.16
123-16-149B,1015 E. Speedway Bl.,0.16
123-16-150A,1027 E. Speedway Bl.,0.31
123-16-152A,1031 E. Speedway Bl.,0.17
123-16-153A,1047 E. Speedway Bl.,0.14
123-16-154A,,0.11
123-16-155A,,0.16
123-16-1560,1010 E. Helen St.,0.06
123-16-157A,1004 E. Helen St.,0.06
123-16-158A,,0.12
123-16-159A,,0.12
123-16-160C,,0.15
123-17-001A,1445 E. Speedway Bl.,0.25
123-17-002A,1501 E. Speedway Bl.,0.25
123-17-003A,1539 E. Speedway Bl.,0.27
123-17-0040,1121 N. Cherry Ave.,0.27
123-17-005A,1125 N. Cherry Ave.,0.16
123-17-0060,1133 N. Cherry Ave.,0.15
123-17-0070,1143 N. Cherry Ave.,0.17
123-17-0080,1508 E. Helen St.,0.51
123-17-009A,1531 E. Speedway Bl.,0.12
123-17-010A,1533 E. Speedway Bl.,0.14
123-17-0110,1123 N. Rincon Ave.,0.08
123-17-0120,1116 N. Rincon Ave.,0.09
123-17-0130,,0.09
123-17-0140,1126 N. Rincon Ave.,0.09
123-17-0150,,0.09
123-17-016A,1128 N. Rincon Ave.,0.13
123-17-0170,,0.11
123-17-0180,1136 N. Rincon Ave.,0.09
123-17-0190,,0.14
123-17-0200,1532 E. Helen St.,0.18
123-17-021B,,0.23
123-17-022A,1301 E. Speedway Bl.,0.31
123-17-023A,1317 E. Speedway Bl.,0.20
123-17-024A,,0.20
123-17-025B,,0.62
123-17-026A,,0.26
123-17-027A,,0.28
123-17-0280,,0.14
123-17-0290,,0.22
123-17-0300,,0.14
123-17-031A,1130 N. Mountain Ave.,0.27
123-17-0320,,0.13
123-17-033A,,0.15
123-17-034B,,0.31
123-17-035A,,0.18
123-17-036A,,0.40
123-17-037A,,0.20
123-17-038A,,0.20
123-17-039A,,0.20
123-17-040A,,0.18
123-17-0420,,0.12
123-17-0430,,0.05
123-17-044B,,1.08
123-17-050A,1402 E. Helen St.,0.20
123-17-051A,1691 E. Speedway Bl.,1.34
123-17-059A,1145 N. Warren Ave.,0.23
123-17-060B,1642 E. Helen St.,0.42
123-17-061A,1628 E. Helen St.,0.27
123-17-0620,1618 E. Helen St.,0.22
123-17-0630,1146 N. Cherry Ave.,0.26
123-17-064A,1126 N. Cherry Ave.,0.28
123-17-0670,,0.13
123-17-0680,,0.18
123-17-0690,1609 E. Helen St.,0.16
123-17-0700,,0.24
123-17-0710,,0.13
123-17-0720,,0.11
123-17-0730,,0.11
123-17-0740,,0.13
123-17-0750,,0.19
123-17-0760,,0.18
123-17-0770,,0.15
123-17-0780,1657 E. Helen St.,0.17
123-17-0790,1227 N. Warren Ave.,0.14
123-17-0800,1237 N. Warren Ave.,0.15
123-17-0810,1656 E. Mabel St.,0.16
123-17-0820,,0.22
123-17-0830,1221 N. Warren Ave.,0.23
123-17-0840,,0.22
123-17-0850,1614 E. Mabel St.,0.23
123-17-0860,,0.10
123-17-0870,,0.11
123-17-0880,,0.11
123-17-0890,1230 N. Cherry Ave.,0.13
123-17-0900,1503 E. Helen St.,0.17
123-17-0910,1218 N. Vine Ave.,0.20
123-17-0920,1509 E. Helen St.,0.17
123-17-0930,1515 E. Helen St.,0.18
123-17-094A,1521 E. Helen St.,0.21
123-17-094B,,0.18
123-17-0950,1533 E. Helen St.,0.33
123-17-0960,,0.19
123-17-0970,1545 E. Helen St.,0.24
123-17-0980,,0.20
123-17-0990,1544 E. Helen St.,0.14
123-17-1000,1538 E. Mabel St.,0.16
123-17-1010,1532 E. Mabel St.,0.16
123-17-1020,1526 E. Mabel St.,0.23
123-17-1030,1520 E. Mabel St.,0.22
123-17-1040,1516 E. Mabel St.,0.14
123-17-105A,1224 N. Vine Ave.,1.63
123-17-1060,1510 E. Mabel St.,0.17
123-17-1070,1502 E. Mabel St.,0.16
123-17-1080,1401 E. Helen St.,0.17
123-17-1090,,0.15
123-17-1100,1409 E. Helen St.,0.15
123-17-1110,1415 E. Helen St.,0.23
123-17-1120,1421 E. Helen St.,0.23
123-17-1130,,0.22
123-17-1140,1433 E. Helen St.,0.24
123-17-115A,1439 E. Helen St.,0.26
123-17-116A,1215 N. Vine Ave.,0.23
123-17-1170,1225 N. Vine Ave.,0.11
123-17-1180,1231 N. Vine Ave.,0.14
123-17-119A,1450 E. Mabel St.,0.05
123-17-119B,,0.04
123-17-1200,1444 E. Mabel St.,0.12
123-17-1210,,0.20
123-17-1220,1240 N. Highland Ave.,0.22
123-17-1230,1422 E. Mabel St.,0.21
123-17-1240,1416 E. Mabel St.,0.22
123-17-1250,1400 E. Mabel St.,0.26
123-17-1260,,0.20
123-17-127B,1200 N. Mountain Ave.,0.24
123-17-128A,1317 E. Helen St.,0.23
123-17-129A,1339 E. Helen St.,0.28
123-17-130A,,0.20
123-17-131A,,0.20
123-17-132A,1221 N. Highland Ave.,0.13
123-17-1330,1345 E. Helen St.,0.19
123-17-134A,1231 N. Highland Ave.,0.20
123-17-1350,1239 N. Highland Ave.,0.25
123-17-1360,1249 N. Highland Ave.,0.15
123-17-137A,1326 E. Mabel St.,0.39
123-17-1380,1316 E. Mabel St.,0.18
123-17-1390,1228 N. Mountain Ave.,0.20
123-17-1400,1310 E. Mabel St.,0.17
123-17-1690,1501 E. Mabel St.,0.17
123-17-1700,1509 E. Mabel St.,0.16
123-17-1730,1527 E. Mabel St.,0.17
123-17-1740,1533 E. Mabel St.,0.17
123-17-1770,1333 N. Cherry Ave.,0.15
123-17-1780,1548 E. Drachman St.,0.18
123-17-1790,1540 E. Drachman St.,0.16
123-17-1800,1528 E. Drachman St.,0.16
123-17-1810,1522 E. Drachman St.,0.16
123-17-1820,1516 E. Drachman St.,0.14
123-17-1840,,0.13
123-17-1850,,0.11
123-17-1860,,0.16
123-17-1870,,0.16
123-17-1880,,0.17
123-17-1890,,0.18
123-17-1900,1670 E. Drachman St.,0.24
123-17-1910,,0.21
123-17-1920,,0.23
123-17-1930,,0.17
123-17-1940,,0.15
123-17-1950,,0.30
123-17-1960,,0.16
123-17-1970,,0.16
123-17-198A,,0.31
123-17-201H,1420 N. Vine Ave.,0.61
123-17-201K,1402 N. Vine Ave.,0.88
123-17-252A,1515 N. Cherry Ave.,2.37
123-17-3010,,0.48
123-17-3020,,0.54
123-17-3030,,1.13
123-17-3040,,0.18
123-17-3050,,0.18
123-17-3060,,0.18
123-17-3070,,0.14
123-17-3080,,0.08
123-18-001A,1295 N. Martin Ave.,3.31
123-18-0150,,0.16
123-18-0160,,0.18
123-18-0170,,0.18
123-18-0180,,0.17
123 -18-0190,,0.20
123-18-0200,1834 E. Mabel St.,0.17
123-18-021A,,0.72
123-18-0280,,0.20
123-18-0290,1224 N. Martin Ave.,0.24
123-18-0300,,0.22
123-18-0310,,0.23
123-18-032D,1145 N. Campbell Ave.,0.23
123-18-040D,1107 N. Campbell Ave.,0.24
123-18-069C,,1.28
123-18-081A,1838 E. Drachman St.,0.08
123-18-0820,,0.21
123-18-0830,,0.21
123-18-0840,,0.21
123-18-0850,,0.15
123-18-0860,,0.18
123-18-0870,,0.18
123-18-0880,,0.18
123-18-0890,,0.17
123-18-090A,,0.34
123-18-0920,,0.08
123-18-0930,,0.23
123-18-0940,,0.03
124-01-001E,,0.58
124-01-001F,,15.24
124-01-001G,,5.24
124-01-001H,,180.50
124-01-004A,1350 E. Speedway Bl.,0.15
124-01-006A,,0.15
124-01-007A,,0.08
124-01-0120,1031 N. Mountain Ave.,0.15
124-01-0130,1025 N. Mountain Ave.,0.19
124-01-0140,,0.20
124-02-026B,1070 N. Warren Ave.,0.04
124-02-034E,,0.20
124-02-035A,1650 E. Speedway Bl.,0.12
124-02-0360,1071 N. Warren Ave.,0.10
124-02-037A,1628 E. Speedway Bl.,0.08
124-02-038B,1620 E. Speedway Bl.,0.30
124-02-040A,1614 E. Speedway Bl.,0.19
124-02-041A,1600 E. Speedway Bl.,0.22
124-02-0490,1633 E. 1st St.,0.28
124-02-0510,1642 E. 1st St.,0.17
124-02-0530,,0.36
124-02-0540,1614 E. 1st St.,0.17
124-02-0550,1610 E. 1st St.,0.14
124-02-0560,1026 N. Cherry Ave.,0.09
124-02-0570,1600 E. 1st St.,0.15
124-02-076A,1731 E. 2nd St.,0.48
124-02-0790,1015 N. Martin Ave.,0.04
124-02-0800,1751 E. 2nd St.,0.10
124-02-083F,1852 E. 1st St.,0.84
124-02-0900,1014 N. Martin Ave.,0.16
124-02-0910,1010 N. Martin Ave.,0.14
124-02-0920,1004 N. Martin Ave.,0.13
124-02-093B,1821 E. 2nd St.,0.77
124-03-160C,,0.93
124-03-163C,,0.25
124-03-173B,,0.14
124-03-1830,,0.14
124-03-184A,,0.30
124-03-1910,,0.23
124-03-1920,,0.03
124-03-1930,,0.18
124-03-1940,430 N. Warren Ave.,0.21
124-03-1950,,0.03
124-03-1960,,0.22
124-03-1970,1703 E. 7th St.,0.23
124-03-1980,1715 E. 7th St.,0.17
124-03-199A,1721 E. 7th St.,0.30
124-03-2010,1733 E. 7th St.,0.19
124-03-2020,1737 E. 7th St.,0.12
124-03-2030,1745 E. 7th St.,0.13
124-03-2040,,0.09
124-03-205A,1610 E. 6th St.,0.38
124-03-2060,1620 E. 6th St.,0.09
124-03-207B,1622 E. 6th St.,0.07
124-03-207C,1626 E. 6th St.,0.07
124-03-208A,,0.05
124-03-209A,,0.02
124-03-210A,,0.10
124-03-211A,,0.18
124-03-2120,421 N. Warren Ave.,0.21
124-03-2130,,0.21
124-03-2140,,0.21
124-03-2150,404 N. Cherry Ave.,0.15
124-03-2160,,0.15
124-03-2170,,0.15
124-03-2180,,0.13
124-03-2190,,0.13
124-03-2200,1629 E. 7th St.,0.12
124-03-2210,1639 E. 7th St.,0.15
124-03-2220,,0.15
124-03-2830,,0.17
124-03-282A,,0.97
124-03-2840,,0.15
124-04-003B,1010 N. Highland Ave.,0.36
124-04-015C,1440 E. Speedway Bl.,0.78
124-04-020A,1416 E. Speedway Bl.,0.17
124-04-021A,1414 E. Speedway Bl.,0.17
124-04-022C,1070 N. Highland Ave.,0.30
124-04-032C,1423 E. 1st St.,0.48
124-04-037C,1546 E. Speedway Bl.,0.08
124-04-040C,1511 E. 1st St.,1.73
124-04-046A,1506 E. Speedway Bl.,0.06
124-04-051A,1077 N. Highland Ave.,0.98
124-04-063A,1334 E. 1st St.,0.70
124-04-0670,1322 E. 1st. St.,0.33
124-04-068A,1030 N. Mountain Ave.,0.36
124-04-075A,1512 E. 1st St.,1.19
124-04-0760,1509 E. 2nd St.,0.62
124-04-086D,,18.75
124-04-087A,1010 E. Speedway Bl.,0.10
124-04-0990,949 E. 2nd St.,0.92
124-05-0480,845 E. 4th St.,1.07
124-05-064A,,3.38
124-05-065A,825 E. 5th St.,3.62
124-05-1250,,0.25
124-05-1260,,0.25
124-05-1270,,0.26
124-05-1280,,0.25
124-05-1290,,0.26
124-05-1300,,0.25
124-05-1310,,0.12
124-05-1320,,0.20
124-05-1330,515 N. Tyndall Ave.,0.19
124-05-1340,822 E. 5th St.,1.37
124-05-1350,903 E. 6th St.,0.17
124-05-1360,,0.07
124-05-1370,905 E. 6th St.,0.22
124-05-1380,907 E. 6th St.,0.21
124-05-139A,,0.28
124-05-146A,940 E. 5th St.,1.15
124-05-1520,407 N. Mountain Ave.,0.07
124-05-1530,415 N. Mountain Ave.,0.13
124-05-1600,,0.10
124-05-1610,,0.12
124-05-1620,,0.12
124-05-1630,,0.11
124-05-1640,1109 E. 7th St.,0.24
124-05-1650,1115 E. 7th St.,0.18
124-05-169A,,0.21
124-05-1700,433 N. Santa Rita Ave.,0.07
124-05-1710,1150 E. 6th St.,0.15
124-05-1720,,0.20
124-05-1730,1130 E. 6th St.,0.11
124-05-1740,,0.10
124-05-1750,1126 E. 6th St.,0.22
124-05-1850,,0.15
124-05-1860,,0.15
124-05-1870,,0.24
124-05-1880,,0.21
124-05-1890,,0.11
124-05-1900,1027 E. 7th St.,0.12
124-05-1910,1033 E. 7th St.,0.23
124-05-1920,403 N. Fremont Ave.,0.14
124-05-1930,,0.15
124-05-1940,,0.12
124-05-1950,,0.19
124-05-1960,435 N. Fremont Ave.,0.22
124-05-1970,1026 E. 6th St.,0.22
124-05-1980,,0.22
124-05-1990,1024 E. 6th St.,0.03
124-05-2000,1022 E. 6th St.,0.03
124-05-2010,1020 E. 6th St.,0.03
124-05-2020,1018 E. 6th St.,0.12
124-05-2030,1014 E. 6th St.,0.20
124-05-2040,1012 E. 6th St.,0.13
124-05-2090,1006 E. 6th St.,0.04
124-05-224A,,0.22
124-05-273A,,0.05
124-05-273B,,0.08
124-05-274A,520 N. Park Ave.,0.18
124-05-2760,,0.07
124-05-277A,,0.14
124-05-2800,,0.12
124-05-2810,,0.12
124-05-2820,1033 E. 6th St.,0.13
124-05-2830,,0.13
124-05-2840,1045 E. 6th St.,0.12
124-05-2860,,0.11
124-05-2870,,0.16
124-05-2880,,0.13
124-05-2890,,0.13
124-05-2900,,0.14
124-05-2910,,0.02
124-05-2920,,0.11
124-05-2930,,0.14
124-05-2940,1117 E. 6th St.,0.13
124-06-0500,1047 E. 8th St.,0.15
124-06-053A,1059 E. 8th St.,0.32
124-06-123D,,0.09
124-06-2680,,0.02
124-06-2690,,0.01
124-06-2700,,0.01
124-06-2710,,0.01
124-06-2720,,0.02
124-06-2730,,0.09
124-06-2740,,0.01
124-08-0210,1504 E. 7th St.,0.14
124-08-0220,1510 E. 7th St.,0.14
124-08-0240,1518 E. 7th St.,0.18
124-08-0260,1548 E. 7th St.,0.13
124-08-0270,,0.16
124-08-0300,330 N. Vine Ave.,0.15
124-08-0330,325 N. Cherry Ave.,0.33
124-08-0340,310 N. Vine Ave.,0.14
124-08-0400,301 N. Cherry Ave.,0.17
124-08-0410,1554 E. 7th St.,0.16
124-08-0420,,0.14
124-08-083A,1305 E. 8th St.,1.14
124-08-093A,,0.68
124-08-0970,,0.15
124-08-1060,370 N. Highland Ave.,0.24
124-08-1080,350 N. Highland Ave.,0.17
124-08-1120,1423 E. 8th St.,0.18
124-08-241D,1400 E. 6th St.,7.50
124-11-009C,,0.19
124-11-010B,1700 E. Broadway Bl.,0.15
124-11-011B,141 S. Warren Ave.,0.32
124-14-023B,1597 E. 16th St.,1.53
125-06-0030,2141 E. 3rd St.,0.40
125-07-593A,,0.14
125-07-5940,,0.14
125-07-5950,,0.14
125-07-5960,350 N. Campbell Ave.,0.14
125-07-5970,,0.14
125-07-598A,,0.14
125-11-247C,655 N. Alvernon Wy.,2.38
129-01-0010,2355 E. Winsett St.,19.49
129-01-0430,411 S. Plumer Ave.,0.49
129-03-024C,450 S. Tucson Bl.,4.42
130-06-0070,3655 E. Golf Links Rd.,0.57
130-13-0260,,0.57
130-13-0270,,0.33
130-13-0280,,0.44
130-13-0290,,0.31
130-13-054C,,0.42
130-13-0550,,0.11
130-13-074A,3740 E. 34th St.,7.02
132-13-034D,1600 E. Idea Ln.,53.55
132-13-0770,1705 E. Tucson Marketplace Bl.,11.38
132-13-0810,,3.68
138-15-008D,250 E. Valencia Rd.,10.65
138-16-001E,,9.31
141-10-008A,7501 S. Kolb Rd.,9.40
141-21-006C,8650 S. Rita Rd.,1.09
141-22-004C,8020 E. I10,11.64
141-22-004T,,128.30
141-22-004U,7762 E. Science Park Dr.,348.84
141-22-004V,,5.13
141-22-0340,9040 S. Rita Rd.,779.15
205-14-727A,12681 N. Sabino Canyon Park,1.20
205-14-7280,12647 N. Sabino Canyon Park,0.20
205-28-007B,,366.67
209-16-006F,,67.05
209-17-003B,,46.72
209-17-003C,,562.83
209-20-003B,,26.47
209-20-003C,,570.52
210-14-001C,,127.20
212-06-073K,,39.51
214-54-022B,,7.85
214-54-0350,,9.61
214-54-0370,,9.96
214-54-044B,,4.91
214-54-0460,,119.12
214-54-0470,,5.06
214-54-0480,,197.24
